probe,record,seg,method,halluc_energy,gap_s,beat_type,beat_cc,n_beats
p1,S022,0,M00,0.0283418906471615,0.4,,,
p1,S022,0,M_FE,0.012379012855282872,0.4,,,
p1,S022,0,M01,0.01313220601046438,0.4,,,
p1,S022,0,M04,0.006571365287862991,0.4,,,
p1,S022,0,M05,0.01894879308733627,0.4,,,
p1,S022,0,B01,0.006030336752889728,0.4,,,
p1,S022,0,M06,0.009820819815625489,0.4,,,
p1,S022,0,M07,0.026051553360107057,0.4,,,
p1,S022,0,M08,0.011722410682646792,0.4,,,
p1,S023,0,M00,0.16174344293133386,0.4,,,
p1,S023,0,M_FE,0.12212086756870401,0.4,,,
p1,S023,0,M01,0.10592980679183012,0.4,,,
p1,S023,0,M04,0.09670122037185706,0.4,,,
p1,S023,0,M05,0.4084435431269925,0.4,,,
p1,S023,0,B01,0.07288936915832717,0.4,,,
p1,S023,0,M06,0.01179887339460161,0.4,,,
p1,S023,0,M07,0.030962711947219407,0.4,,,
p1,S023,0,M08,0.020197090349892255,0.4,,,
p1,S024,0,M00,0.0014166287227696704,0.4,,,
p1,S024,0,M_FE,0.0014025378736402794,0.4,,,
p1,S024,0,M01,0.0010523593642497182,0.4,,,
p1,S024,0,M04,0.00046487491280395855,0.4,,,
p1,S024,0,M05,0.0009940228404765907,0.4,,,
p1,S024,0,B01,0.0002560264314555227,0.4,,,
p1,S024,0,M06,0.0017057659665266462,0.4,,,
p1,S024,0,M07,0.011354752122769787,0.4,,,
p1,S024,0,M08,0.00995179298459844,0.4,,,
p1,S025,0,M00,0.17689804918009153,0.4,,,
p1,S025,0,M_FE,0.11649872812026422,0.4,,,
p1,S025,0,M01,0.04423926499088371,0.4,,,
p1,S025,0,M04,0.007125803645824753,0.4,,,
p1,S025,0,M05,0.020691511782855714,0.4,,,
p1,S025,0,B01,0.004649650239107001,0.4,,,
p1,S025,0,M06,0.005781628173376522,0.4,,,
p1,S025,0,M07,0.009411117421626269,0.4,,,
p1,S025,0,M08,0.02566155104375415,0.4,,,
p1,S026,0,M00,0.14320717663722796,0.4,,,
p1,S026,0,M_FE,0.09492451007130084,0.4,,,
p1,S026,0,M01,0.03762977631557682,0.4,,,
p1,S026,0,M04,0.0046013159606026685,0.4,,,
p1,S026,0,M05,0.01798465903078703,0.4,,,
p1,S026,0,B01,0.003530026055527461,0.4,,,
p1,S026,0,M06,0.010792611324959614,0.4,,,
p1,S026,0,M07,0.01267203921581038,0.4,,,
p1,S026,0,M08,0.009791828155954833,0.4,,,
p1,S027,0,M00,0.07063208981159112,0.4,,,
p1,S027,0,M_FE,0.04271619637550148,0.4,,,
p1,S027,0,M01,0.04582880534163328,0.4,,,
p1,S027,0,M04,0.04661149435569644,0.4,,,
p1,S027,0,M05,0.06398215288484116,0.4,,,
p1,S027,0,B01,0.03809950829196013,0.4,,,
p1,S027,0,M06,0.05605847887225718,0.4,,,
p1,S027,0,M07,0.06517898782487455,0.4,,,
p1,S027,0,M08,0.04346295798084936,0.4,,,
p1,S028,0,M00,0.04021082265581396,0.4,,,
p1,S028,0,M_FE,0.027434681975264358,0.4,,,
p1,S028,0,M01,0.028745021078112384,0.4,,,
p1,S028,0,M04,0.026822391773120097,0.4,,,
p1,S028,0,M05,0.024524403783310222,0.4,,,
p1,S028,0,B01,0.034950903746053946,0.4,,,
p1,S028,0,M06,0.015170744118535473,0.4,,,
p1,S028,0,M07,0.01767126012101878,0.4,,,
p1,S028,0,M08,0.017383364598755332,0.4,,,
p1,S029,0,M00,0.0047004017771268836,0.4,,,
p1,S029,0,M_FE,0.003864590728833837,0.4,,,
p1,S029,0,M01,0.005967946185947941,0.4,,,
p1,S029,0,M04,0.0038833282570854485,0.4,,,
p1,S029,0,M05,0.006212653374468628,0.4,,,
p1,S029,0,B01,0.004589421238717116,0.4,,,
p1,S029,0,M06,0.006346850166571592,0.4,,,
p1,S029,0,M07,0.030894454438786165,0.4,,,
p1,S029,0,M08,0.009443206019133468,0.4,,,
p1,S030,0,M00,0.09746957473546687,0.4,,,
p1,S030,0,M_FE,0.05634517406155962,0.4,,,
p1,S030,0,M01,0.02429198519794901,0.4,,,
p1,S030,0,M04,0.005222502459892697,0.4,,,
p1,S030,0,M05,0.0032738425411031934,0.4,,,
p1,S030,0,B01,0.0010910798973431644,0.4,,,
p1,S030,0,M06,0.016639872787893608,0.4,,,
p1,S030,0,M07,0.02856779216674133,0.4,,,
p1,S030,0,M08,0.022947034486810406,0.4,,,
p1,S031,0,M00,0.04471896325544436,0.4,,,
p1,S031,0,M_FE,0.0070280670283291175,0.4,,,
p1,S031,0,M01,0.006226196889564351,0.4,,,
p1,S031,0,M04,0.00448524989094817,0.4,,,
p1,S031,0,M05,0.004040967480510651,0.4,,,
p1,S031,0,B01,0.0063028939518175965,0.4,,,
p1,S031,0,M06,0.0019715440893339074,0.4,,,
p1,S031,0,M07,0.0013706257577624124,0.4,,,
p1,S031,0,M08,0.001999570056420229,0.4,,,
p1,S032,0,M00,0.12041312516033326,0.4,,,
p1,S032,0,M_FE,0.08640811999279098,0.4,,,
p1,S032,0,M01,0.05726860223603692,0.4,,,
p1,S032,0,M04,0.05443416823803781,0.4,,,
p1,S032,0,M05,0.009128739632670224,0.4,,,
p1,S032,0,B01,0.004961910151770497,0.4,,,
p1,S032,0,M06,0.0015830932391973623,0.4,,,
p1,S032,0,M07,0.02578583487613874,0.4,,,
p1,S032,0,M08,0.06509021372428248,0.4,,,
p1,S033,0,M00,0.021693995357117385,0.4,,,
p1,S033,0,M_FE,0.07915517733479177,0.4,,,
p1,S033,0,M01,0.07902698089171463,0.4,,,
p1,S033,0,M04,0.07963949566260545,0.4,,,
p1,S033,0,M05,0.07039048634685385,0.4,,,
p1,S033,0,B01,0.0723846788109548,0.4,,,
p1,S033,0,M06,0.039938394094073196,0.4,,,
p1,S033,0,M07,0.09066173058787304,0.4,,,
p1,S033,0,M08,0.05601875998875577,0.4,,,
p1,S034,0,M00,0.26130189919786934,0.4,,,
p1,S034,0,M_FE,0.147469142531871,0.4,,,
p1,S034,0,M01,0.03921148020750122,0.4,,,
p1,S034,0,M04,0.026357478925210787,0.4,,,
p1,S034,0,M05,0.023027015270240522,0.4,,,
p1,S034,0,B01,0.01246308783345012,0.4,,,
p1,S034,0,M06,0.03067314447221852,0.4,,,
p1,S034,0,M07,0.041892453140831704,0.4,,,
p1,S034,0,M08,0.027441285731710677,0.4,,,
p1,S035,0,M00,0.8227672806426929,0.4,,,
p1,S035,0,M_FE,0.5220628894979666,0.4,,,
p1,S035,0,M01,0.35706351482318843,0.4,,,
p1,S035,0,M04,0.5031476216844983,0.4,,,
p1,S035,0,M05,0.5895613757640347,0.4,,,
p1,S035,0,B01,0.05231243993370135,0.4,,,
p1,S035,0,M06,0.062366036852990636,0.4,,,
p1,S035,0,M07,0.06379328350856737,0.4,,,
p1,S035,0,M08,0.06421693633690442,0.4,,,
p1,S036,0,M00,0.5458612059289725,0.4,,,
p1,S036,0,M_FE,0.48891956499331135,0.4,,,
p1,S036,0,M01,0.12182726766434095,0.4,,,
p1,S036,0,M04,0.06472577503901561,0.4,,,
p1,S036,0,M05,0.009259273511660828,0.4,,,
p1,S036,0,B01,0.0010976379019788862,0.4,,,
p1,S036,0,M06,0.017538834413497885,0.4,,,
p1,S036,0,M07,0.03146079479982077,0.4,,,
p1,S036,0,M08,0.01029578046134911,0.4,,,
p1,S037,0,M00,0.043551763814362494,0.4,,,
p1,S037,0,M_FE,0.022444935378871718,0.4,,,
p1,S037,0,M01,0.01208477581676133,0.4,,,
p1,S037,0,M04,0.01069164059431009,0.4,,,
p1,S037,0,M05,0.008679364440718339,0.4,,,
p1,S037,0,B01,0.009263125579402247,0.4,,,
p1,S037,0,M06,0.009494926257618618,0.4,,,
p1,S037,0,M07,0.019659053514345652,0.4,,,
p1,S037,0,M08,0.020573274485635333,0.4,,,
p1,S038,0,M00,0.05851818164829083,0.4,,,
p1,S038,0,M_FE,0.0007598655978436358,0.4,,,
p1,S038,0,M01,0.0007312772828140604,0.4,,,
p1,S038,0,M04,0.0007571793831860215,0.4,,,
p1,S038,0,M05,0.00019613741095178035,0.4,,,
p1,S038,0,B01,0.0006900623573566275,0.4,,,
p1,S038,0,M06,9.496155781524346e-05,0.4,,,
p1,S038,0,M07,0.0066156976495187515,0.4,,,
p1,S038,0,M08,0.0029921872865877365,0.4,,,
p1,S039,0,M00,0.020835565805304095,0.4,,,
p1,S039,0,M_FE,0.008852338622930247,0.4,,,
p1,S039,0,M01,0.008969432381583882,0.4,,,
p1,S039,0,M04,0.01006192196739313,0.4,,,
p1,S039,0,M05,0.03527769426689845,0.4,,,
p1,S039,0,B01,0.004810576495535659,0.4,,,
p1,S039,0,M06,0.0078023725747308455,0.4,,,
