epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000325,0.024148,0.018843,1.589192,1.101092,0.933186,42.436636
2,0.000658,0.013777,0.011002,3.567931,3.399772,0.994406,43.512409
3,0.000992,0.010851,0.010203,4.210619,4.107578,0.980934,42.700282
4,0.000999,0.009224,0.008470,5.979226,5.876054,0.985885,42.236443
5,0.000997,0.008038,0.007630,6.249899,6.163430,0.999276,42.268864
6,0.000993,0.007296,0.007543,6.567403,6.466021,0.985349,42.588291
7,0.000988,0.007103,0.007181,6.422085,6.354618,0.998470,42.388283
8,0.000981,0.006440,0.007141,6.408292,6.310964,1.002224,44.385335
9,0.000973,0.006196,0.006772,7.026899,6.908573,1.003338,43.873441
10,0.000964,0.006024,0.007056,6.620143,6.509977,1.003718,41.054009
11,0.000952,0.005712,0.007118,6.469198,6.336128,1.008465,42.789094
12,0.000940,0.005854,0.008071,5.407118,5.339542,1.004819,40.968560
13,0.000926,0.005542,0.009632,4.521198,4.369203,1.020534,42.256275
14,0.000911,0.005247,0.007466,5.872192,5.794063,1.001770,43.086788
15,0.000895,0.005312,0.007510,5.928487,5.853968,1.004840,41.980411
16,0.000878,0.005217,0.008288,5.204299,5.034658,1.014286,42.623338
17,0.000859,0.005283,0.008102,5.034484,4.890731,1.012104,41.497370
18,0.000839,0.004938,0.010167,3.467867,3.339008,1.020700,41.789411
19,0.000818,0.004547,0.009921,3.296246,3.198217,1.013304,42.807845
20,0.000797,0.004555,0.008283,4.908547,4.824875,1.004991,43.538985
21,0.000774,0.004616,0.010523,2.692002,2.559734,1.020093,41.325236
