method,awgn,bw_synth,em_synth,impulse,ma_synth,mixed,pli
B01,9.67,19.13,7.51,8.66,13.92,10.68,22.38
B02,4.84,20.05,8.9,2.51,7.12,9.07,21.72
M00,0.42,0.4,0.42,0.41,0.41,0.42,0.41
M01,4.06,11.12,5.46,1.25,5.85,5.93,12.25
M02,2.53,5.18,2.68,1.09,4.18,3.04,5.59
M03,2.05,18.52,7.38,0.48,4.73,6.32,11.18
M04,8.0,19.13,7.44,0.45,7.62,8.99,19.55
M04np,5.33,19.1,7.44,0.45,7.11,8.09,17.42
M05,3.03,7.94,4.73,3.34,7.82,5.08,8.31
M05f,0.62,5.2,3.16,1.16,4.13,2.89,5.39
M06,9.17,14.57,11.7,11.24,12.42,11.44,15.06
M07,8.02,12.6,10.38,9.91,10.26,10.06,12.45
M08,8.88,16.78,12.56,11.98,12.78,12.02,17.46
M_FE,1.43,19.13,7.44,0.45,0.96,6.96,17.76
