method,metric,n,mean,std,median,baseline_mean,delta_mean,stat,p,effect_r,p_holm
M08,snr_imp_scaled,22,11.945130124982438,3.7384958860833923,12.158112881368172,5.589606047403371,6.355524077579065,0.0,4.76837158203125e-07,1.0,7.152557373046875e-06
M09,snr_imp_scaled,22,11.58834339698784,3.9094183373281814,11.756174100774876,5.589606047403371,5.99873734958447,1.0,9.5367431640625e-07,0.9920948616600791,1.049041748046875e-05
M06,snr_imp_scaled,22,11.448514235053743,3.7509034765881255,12.046106445510524,5.589606047403371,5.85890818765037,1.0,9.5367431640625e-07,0.9920948616600791,1.049041748046875e-05
B01,snr_imp_scaled,22,11.162654773222888,3.5180040784563618,10.977864126703196,5.589606047403371,5.573048725819516,0.0,4.76837158203125e-07,1.0,7.152557373046875e-06
M10,snr_imp_scaled,22,10.536626839763805,3.8690925098244184,11.18725151679789,5.589606047403371,4.947020792360434,3.0,2.384185791015625e-06,0.9762845849802372,1.6689300537109375e-05
M07,snr_imp_scaled,22,10.469790284548976,3.427956477018656,10.787844439019864,5.589606047403371,4.880184237145606,1.0,9.5367431640625e-07,0.9920948616600791,1.049041748046875e-05
B02,snr_imp_scaled,22,9.72535141350057,3.7775316563289016,9.253456350881413,5.589606047403371,4.1357453660972,0.0,4.76837158203125e-07,1.0,7.152557373046875e-06
M04,snr_imp_scaled,22,8.522403036123468,2.993531516374282,8.329361767320757,5.589606047403371,2.9327969887200953,0.0,4.76837158203125e-07,1.0,7.152557373046875e-06
M04np,snr_imp_scaled,22,7.9864987683659905,2.9523751920186965,8.454477979194149,5.589606047403371,2.396892720962618,1.0,9.5367431640625e-07,0.9920948616600791,1.049041748046875e-05
M_FE,snr_imp_scaled,22,6.63403704560946,3.303853508858519,5.80799488155832,5.589606047403371,1.0444309982060884,95.0,0.32088327407836914,0.2490118577075099,0.7845597267150879
M03,snr_imp_scaled,22,6.385187399065279,2.832010185742744,6.484017228586234,5.589606047403371,0.7955813516619077,91.0,0.2615199089050293,0.28063241106719367,0.7845597267150879
M05,snr_imp_scaled,22,5.597625334971107,2.4507142145537397,5.647567077437412,5.589606047403371,0.008019287567736249,115.0,0.7261838912963867,-0.09090909090909091,0.7845597267150879
M05f,snr_imp_scaled,22,3.6068136057578486,2.110079437925333,3.7751176194239973,5.589606047403371,-1.9827924416455227,28.0,0.0006937980651855469,-0.7786561264822134,0.0027751922607421875
M02,snr_imp_scaled,22,3.3809572642450045,2.782653112410634,3.064444423730893,5.589606047403371,-2.2086487831583663,3.0,2.384185791015625e-06,-0.9762845849802372,1.6689300537109375e-05
M00,snr_imp_scaled,22,1.8310705853972182,0.07204286404884351,1.818226609859423,5.589606047403371,-3.7585354620061535,7.0,9.059906005859375e-06,-0.9446640316205533,4.5299530029296875e-05
M00,rmse,22,0.10173665926428228,0.016109783747584358,0.09981481684648238,0.05358126940611387,0.048155389858168404,0.0,4.76837158203125e-07,1.0,7.152557373046875e-06
M_FE,rmse,22,0.06147506348760536,0.017177052221058257,0.06272980889283708,0.05358126940611387,0.007893794081491478,72.0,0.07942724227905273,0.4308300395256917,0.20533275604248047
M02,rmse,22,0.05853814226511,0.0182319264111156,0.05555507217227809,0.05358126940611387,0.0049568728589961236,57.0,0.022916316986083984,0.549407114624506,0.09166526794433594
M05f,rmse,22,0.05607974602768798,0.01376322207654782,0.05614219717050202,0.05358126940611387,0.002498476621574115,70.0,0.06844425201416016,0.44664031620553357,0.20533275604248047
M03,rmse,22,0.05191674816170332,0.014286494439335799,0.052066428233106934,0.05358126940611387,-0.0016645212444105488,79.0,0.12888002395629883,-0.37549407114624506,0.20533275604248047
M04np,rmse,22,0.0486646923666667,0.014502973330557263,0.04730187492547173,0.05358126940611387,-0.004916577039447179,25.0,0.00042819976806640625,-0.8023715415019763,0.0029973983764648438
M04,rmse,22,0.04795520518775614,0.014445664924868372,0.045143732341047904,0.05358126940611387,-0.005626064218357731,28.0,0.0006937980651855469,-0.7786561264822134,0.004162788391113281
M05,rmse,22,0.047079728862990854,0.01448721228105711,0.04442939307364059,0.05358126940611387,-0.006501540543123018,35.0,0.0019183158874511719,-0.7233201581027668,0.00959157943725586
B01,rmse,22,0.033546527533620245,0.015013805803006593,0.031392273899380624,0.05358126940611387,-0.02003474187249363,0.0,4.76837158203125e-07,-1.0,7.152557373046875e-06
B02,rmse,22,0.032544862191417286,0.00936903236913728,0.03260527744880372,0.05358126940611387,-0.021036407214696587,0.0,4.76837158203125e-07,-1.0,7.152557373046875e-06
M10,rmse,22,0.02515684072519905,0.015745119018458473,0.020262757648983692,0.05358126940611387,-0.028424428680914826,1.0,9.5367431640625e-07,-0.9920948616600791,9.5367431640625e-06
M07,rmse,22,0.024635678979731786,0.013179879827891728,0.021986130041138148,0.05358126940611387,-0.028945590426382086,1.0,9.5367431640625e-07,-0.9920948616600791,9.5367431640625e-06
M06,rmse,22,0.02404919984159436,0.013150470048234284,0.020042890718643153,0.05358126940611387,-0.029532069564519516,0.0,4.76837158203125e-07,-1.0,7.152557373046875e-06
M08,rmse,22,0.023382664656018962,0.012172539192980466,0.019939796906925954,0.05358126940611387,-0.030198604750094917,0.0,4.76837158203125e-07,-1.0,7.152557373046875e-06
M09,rmse,22,0.02269688570749471,0.014126653359588284,0.01825728763430432,0.05358126940611387,-0.030884383698619157,1.0,9.5367431640625e-07,-0.9920948616600791,9.5367431640625e-06
M09,cc,22,0.9808387674052125,0.03520012001386072,0.988697574637864,0.925980215689356,0.054858551715856824,1.0,9.5367431640625e-07,0.9920948616600791,1.049041748046875e-05
M07,cc,22,0.9797942890754416,0.03349691438617881,0.9885881408398913,0.925980215689356,0.0538140733860855,1.0,9.5367431640625e-07,0.9920948616600791,1.049041748046875e-05
M08,cc,22,0.9789623502070088,0.026206621600154092,0.987354052415694,0.925980215689356,0.05298213451765268,0.0,4.76837158203125e-07,1.0,7.152557373046875e-06
M06,cc,22,0.978081996035155,0.03083949245343011,0.9863244325975709,0.925980215689356,0.052101780345799015,1.0,9.5367431640625e-07,0.9920948616600791,1.049041748046875e-05
M10,cc,22,0.9773846304260144,0.04355222885836824,0.9875651722581702,0.925980215689356,0.051404414736658396,14.0,5.245208740234375e-05,0.8893280632411067,0.00041961669921875
B02,cc,22,0.9601176281960594,0.018938626344836302,0.9612884308193776,0.925980215689356,0.03413741250670351,0.0,4.76837158203125e-07,1.0,7.152557373046875e-06
B01,cc,22,0.959679841231745,0.027760511025932896,0.970065519631182,0.925980215689356,0.033699625542388915,0.0,4.76837158203125e-07,1.0,7.152557373046875e-06
M05,cc,22,0.937330723831499,0.03429517427930786,0.9403409652023689,0.925980215689356,0.011350508142142996,45.0,0.006649494171142578,0.6442687747035574,0.04654645919799805
M04,cc,22,0.932161429994479,0.025474237569721635,0.9344630412805859,0.925980215689356,0.006181214305122842,64.0,0.042498111724853516,0.49407114624505927,0.2549886703491211
M04np,cc,22,0.929905285825171,0.02750349666996024,0.9338621324456554,0.925980215689356,0.003925070135814895,64.0,0.042498111724853516,0.49407114624505927,0.2549886703491211
M03,cc,22,0.922965962079914,0.029112339120145738,0.9285081892499195,0.925980215689356,-0.00301425360944208,70.0,0.06844425201416016,-0.44664031620553357,0.2549886703491211
M05f,cc,22,0.9200269194332802,0.03658269565498057,0.9294469616215286,0.925980215689356,-0.005953296256075557,71.0,0.0737757682800293,-0.43873517786561267,0.2549886703491211
M02,cc,22,0.9166580043412872,0.040409843021537765,0.9233461614986124,0.925980215689356,-0.00932221134806876,70.0,0.06844425201416016,-0.44664031620553357,0.2549886703491211
M_FE,cc,22,0.9082285552742277,0.03148713387501389,0.9099753342606317,0.925980215689356,-0.017751660415128025,66.0,0.050072669982910156,-0.4782608695652174,0.2549886703491211
M00,cc,22,0.8346512385581789,0.004831506854870442,0.8341443340046446,0.925980215689356,-0.09132897713117698,0.0,4.76837158203125e-07,-1.0,7.152557373046875e-06
B01,se,22,0.993186258007862,0.014079921131094386,0.9978096887945171,0.9864949314746302,0.006691326533231775,8.0,0.0011841930356640954,0.8954248366013072,0.01776289553496143
M07,se,22,0.9888479422650363,0.02239322301475915,0.9985969628372005,0.9864949314746302,0.002353010790405992,31.0,0.0176206611104818,0.6374269005847953,0.2114479333257816
B02,se,22,0.9876010420173063,0.015772404377347077,0.9907899779630163,0.9864949314746302,0.001106110542675928,7.0,0.02079521585359911,0.7878787878787878,0.22874737438959022
M06,se,22,0.9872809502108723,0.02787663003217667,0.9985969628372005,0.9864949314746302,0.0007860187362420415,37.0,0.034669963150986444,0.5672514619883041,0.312029668358878
M04,se,22,0.9870484184386693,0.016414376753004906,0.99060086324398,0.9864949314746302,0.0005534869640391131,11.0,0.6120898800892568,0.21428571428571427,1.0
M04np,se,22,0.9869960354213134,0.016561173730882454,0.99060086324398,0.9864949314746302,0.0005011039466831437,11.0,0.6120898800892568,0.21428571428571427,1.0
M03,se,22,0.9869135892927665,0.016383143611677014,0.9901936581084047,0.9864949314746302,0.0004186578181362447,18.0,0.5939546753269146,0.2,1.0
M02,se,22,0.9867222681813431,0.016450468155795553,0.9897609728823036,0.9864949314746302,0.00022733670671285208,3.0,0.4652088184521418,0.4,1.0
M_FE,se,22,0.9865692036077259,0.016380353357005197,0.9894617791307289,0.9864949314746302,7.427213309566224e-05,0.0,0.31731050786291415,1.0,1.0
M00,se,22,0.9865498282686574,0.016452760739417236,0.9894617791307289,0.9864949314746302,5.48967940272341e-05,0.0,0.31731050786291415,1.0,1.0
M05,se,22,0.9863990466451522,0.01658367224504042,0.9897609728823036,0.9864949314746302,-9.588482947802224e-05,41.0,0.7531523647659145,0.0989010989010989,1.0
M08,se,22,0.9854435986876106,0.03766407027030581,0.9979355871758249,0.9864949314746302,-0.0010513327870195967,23.0,0.011322371449485434,0.6993464052287581,0.15851320029279609
M09,se,22,0.9837786680335072,0.04441192100124248,0.9975143614670792,0.9864949314746302,-0.0027162634411229984,30.0,0.015647093863347505,0.6491228070175439,0.20341222022351757
M05f,se,22,0.9836260206471547,0.015609289961948027,0.9856387764282502,0.9864949314746302,-0.0028689108274758375,38.0,0.03857970370059411,-0.5555555555555556,0.312029668358878
M10,se,22,0.9715356339388077,0.09827185041551416,0.9979249198264479,0.9864949314746302,-0.014959297535822464,36.0,0.031103769479907197,0.5789473684210527,0.31103769479907195
B01,ppv,22,0.9995816789047072,0.0011851050559505633,1.0,0.9770586790797767,0.02252299982493048,0.0,0.0002930525201924893,1.0,0.00439578780288734
M09,ppv,22,0.9981247357486129,0.005747516929874355,1.0,0.9770586790797767,0.021066056668836305,0.0,0.0002930525201924893,1.0,0.00439578780288734
