stage,sigma_source,mode,protect,k,mean,min
1,d1,soft,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",9.714163505329147,0.17225345057206276
1,d1,soft,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",9.840575784870152,0.17237544326155785
1,d1,hard,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.054948349745555,0.17105323595846045
1,d1,hard,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.061761855822416,0.1710532437316381
1,d1,garrote,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.3316493401547,0.17105545369764208
1,d1,garrote,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.349285835295163,0.17105548258060033
1,d2,soft,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",9.61074378188761,0.19075410108326096
1,d2,soft,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",9.803819211096766,0.1928517597448529
1,d2,hard,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.371395011884191,0.17105704881560868
1,d2,hard,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.383086672738656,0.1710601586471565
1,d2,garrote,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.36671767647495,0.17144117605370468
1,d2,garrote,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.428709104130647,0.1714574602593011
1,min12,soft,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",9.724414437525457,0.17225345057206276
1,min12,soft,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",9.850491238048395,0.17237544326155785
1,min12,hard,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.057361218221494,0.17105323595846045
1,min12,hard,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.064207538950884,0.1710532437316381
1,min12,garrote,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.339468908113755,0.17105545369764208
1,min12,garrote,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.35624233785816,0.17105548258060033
1,level,soft,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",0.030675919579207518,-5.978782342713771
1,level,soft,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",0.44742363766623877,-5.487195337450977
1,level,hard,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",3.3314487495166003,-2.557456086968381
1,level,hard,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",3.3286083907500226,-2.4994183030792243
1,level,garrote,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",1.1684544336550478,-4.872196577402182
1,level,garrote,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",1.315661866111756,-4.608057015916884
2,d2,garrote,True,"(0.1, 0.6, 0.6, 0.6, 0.6)",9.391654166744129,
2,d2,garrote,True,"(0.2, 0.6, 0.6, 0.6, 0.6)",10.048981256279614,
2,d2,garrote,True,"(0.3, 0.6, 0.6, 0.6, 0.6)",10.241705671388535,
2,d2,garrote,True,"(0.4, 0.6, 0.6, 0.6, 0.6)",10.327180192012316,
2,d2,garrote,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.428709104130647,
2,d2,garrote,True,"(0.8, 0.6, 0.6, 0.6, 0.6)",10.511312304571012,
2,d2,garrote,True,"(1.0, 0.6, 0.6, 0.6, 0.6)",10.584819793402184,
2,d2,garrote,True,"(1.3, 0.6, 0.6, 0.6, 0.6)",10.678868566936323,
2,d2,garrote,True,"(1.6, 0.6, 0.6, 0.6, 0.6)",10.755399535428563,
2,d2,garrote,True,"(2.0, 0.6, 0.6, 0.6, 0.6)",10.833194258555016,
2,d2,garrote,True,"(2.5, 0.6, 0.6, 0.6, 0.6)",10.900581364732144,
2,d2,garrote,True,"(2.5, 0.1, 0.6, 0.6, 0.6)",10.257539848715131,
2,d2,garrote,True,"(2.5, 0.2, 0.6, 0.6, 0.6)",10.603292726909492,
2,d2,garrote,True,"(2.5, 0.3, 0.6, 0.6, 0.6)",10.778767956255885,
2,d2,garrote,True,"(2.5, 0.4, 0.6, 0.6, 0.6)",10.861261296748319,
2,d2,garrote,True,"(2.5, 0.6, 0.6, 0.6, 0.6)",10.900581364732144,
2,d2,garrote,True,"(2.5, 0.8, 0.6, 0.6, 0.6)",10.90748289473101,
2,d2,garrote,True,"(2.5, 1.0, 0.6, 0.6, 0.6)",10.914811280052229,
2,d2,garrote,True,"(2.5, 1.3, 0.6, 0.6, 0.6)",10.931556126357695,
2,d2,garrote,True,"(2.5, 1.6, 0.6, 0.6, 0.6)",10.948409318987103,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.6, 0.6)",10.96264039945439,
2,d2,garrote,True,"(2.5, 2.5, 0.6, 0.6, 0.6)",10.957528670505196,
