method,snr_in,metric,mean,std,n_records,loss,model,frontend,ckpt_git
M06-L1,0.0,beat_cc,0.99173735108733,0.015112598846518877,22,L1,resunet1d,True,b497637
M06-L2,0.0,beat_cc,0.99137038947122,0.01700908637918795,22,L2,resunet1d,True,6aa1cb3
M06-L3,0.0,beat_cc,0.9917584604754327,0.01715322461349587,22,L3,resunet1d,True,6aa1cb3
M08-L1,0.0,beat_cc,0.992515873723164,0.014054895975649474,22,L1,wavelet_unet,True,b497637
M08-L3,0.0,beat_cc,0.9929085697366161,0.015240657449803394,22,L3,wavelet_unet,True,6aa1cb3
M08-L4,0.0,beat_cc,0.9953071410994496,0.009928780666176243,22,L4,wavelet_unet,True,6aa1cb3
M_FE,0.0,beat_cc,0.995777353858709,0.0036653969021437855,22,,,,
M06-L1,10.0,beat_cc,0.9935576890059504,0.014464461111543255,22,L1,resunet1d,True,b497637
M06-L2,10.0,beat_cc,0.9943846891982043,0.01351408581092732,22,L2,resunet1d,True,6aa1cb3
M06-L3,10.0,beat_cc,0.9946958523927417,0.013215792307417245,22,L3,resunet1d,True,6aa1cb3
M08-L1,10.0,beat_cc,0.9952266401727706,0.011894682228754267,22,L1,wavelet_unet,True,b497637
M08-L3,10.0,beat_cc,0.9956400303742314,0.011948082152597241,22,L3,wavelet_unet,True,6aa1cb3
M08-L4,10.0,beat_cc,0.9974472302809088,0.006792170189945931,22,L4,wavelet_unet,True,6aa1cb3
M_FE,10.0,beat_cc,0.9995735933012164,0.0003678898834278805,22,,,,
M06-L1,20.0,beat_cc,0.9941008403982572,0.013733789928814183,22,L1,resunet1d,True,b497637
M06-L2,20.0,beat_cc,0.9950184410322926,0.012436939449707614,22,L2,resunet1d,True,6aa1cb3
M06-L3,20.0,beat_cc,0.9953990200951395,0.01211596201331863,22,L3,resunet1d,True,6aa1cb3
M08-L1,20.0,beat_cc,0.996271897703517,0.010532927365272855,22,L1,wavelet_unet,True,b497637
M08-L3,20.0,beat_cc,0.9967206181885856,0.009639564634070898,22,L3,wavelet_unet,True,6aa1cb3
M08-L4,20.0,beat_cc,0.9979712750213326,0.0057863224778826996,22,L4,wavelet_unet,True,6aa1cb3
M_FE,20.0,beat_cc,0.9999581122193739,3.6007505886862385e-05,22,,,,
M06-L1,0.0,qrs_dur_err_ms,25.995482768425187,13.098134448111614,22,L1,resunet1d,True,b497637
M06-L2,0.0,qrs_dur_err_ms,22.26711718260111,13.249511899201918,22,L2,resunet1d,True,6aa1cb3
M06-L3,0.0,qrs_dur_err_ms,22.501203817431964,13.241648821297703,22,L3,resunet1d,True,6aa1cb3
M08-L1,0.0,qrs_dur_err_ms,25.784908917374597,15.497957805494668,22,L1,wavelet_unet,True,b497637
M08-L3,0.0,qrs_dur_err_ms,22.794436941092336,12.06939384804512,22,L3,wavelet_unet,True,6aa1cb3
M08-L4,0.0,qrs_dur_err_ms,24.47655663154844,15.478899720970013,22,L4,wavelet_unet,True,6aa1cb3
M_FE,0.0,qrs_dur_err_ms,27.056607050168918,21.24136362291875,22,,,,
M06-L1,10.0,qrs_dur_err_ms,22.414567780408436,14.622162963691782,22,L1,resunet1d,True,b497637
M06-L2,10.0,qrs_dur_err_ms,17.598095401011975,10.921341597594745,22,L2,resunet1d,True,6aa1cb3
M06-L3,10.0,qrs_dur_err_ms,17.1403576023218,10.73384889719564,22,L3,resunet1d,True,6aa1cb3
M08-L1,10.0,qrs_dur_err_ms,23.81175472114848,15.250726438729188,22,L1,wavelet_unet,True,b497637
M08-L3,10.0,qrs_dur_err_ms,19.75288329426066,13.217060858907468,22,L3,wavelet_unet,True,6aa1cb3
M08-L4,10.0,qrs_dur_err_ms,17.56161587248688,11.701937151011919,22,L4,wavelet_unet,True,6aa1cb3
M_FE,10.0,qrs_dur_err_ms,15.857706105231125,13.183653823937169,22,,,,
M06-L1,20.0,qrs_dur_err_ms,21.97367212906175,14.118965153706203,21,L1,resunet1d,True,b497637
M06-L2,20.0,qrs_dur_err_ms,14.774465356586864,10.236300572958225,22,L2,resunet1d,True,6aa1cb3
M06-L3,20.0,qrs_dur_err_ms,14.55889361280831,10.20126338201856,22,L3,resunet1d,True,6aa1cb3
M08-L1,20.0,qrs_dur_err_ms,21.05964829386026,14.722740445681568,21,L1,wavelet_unet,True,b497637
M08-L3,20.0,qrs_dur_err_ms,15.544952944910113,11.354261740788164,22,L3,wavelet_unet,True,6aa1cb3
M08-L4,20.0,qrs_dur_err_ms,12.68836246557723,8.795133104536035,22,L4,wavelet_unet,True,6aa1cb3
M_FE,20.0,qrs_dur_err_ms,8.987822196373584,8.436241814634428,22,,,,
M06-L1,0.0,snr_imp_scaled,16.201162327994385,3.38610500364638,22,L1,resunet1d,True,b497637
M06-L2,0.0,snr_imp_scaled,16.0047517303764,3.7531144246021353,22,L2,resunet1d,True,6aa1cb3
M06-L3,0.0,snr_imp_scaled,16.06485593856412,3.7374025263104085,22,L3,resunet1d,True,6aa1cb3
M08-L1,0.0,snr_imp_scaled,15.743791237851049,3.3711339282643875,22,L1,wavelet_unet,True,b497637
M08-L3,0.0,snr_imp_scaled,16.279406033252187,3.7346475574573987,22,L3,wavelet_unet,True,6aa1cb3
M08-L4,0.0,snr_imp_scaled,15.339963897837636,3.731515313391497,22,L4,wavelet_unet,True,6aa1cb3
M_FE,0.0,snr_imp_scaled,8.978311061058129,4.181452244590545,22,,,,
M06-L1,10.0,snr_imp_scaled,12.532513620073468,3.63639509587693,22,L1,resunet1d,True,b497637
M06-L2,10.0,snr_imp_scaled,13.33288437863517,4.573277182211175,22,L2,resunet1d,True,6aa1cb3
M06-L3,10.0,snr_imp_scaled,13.3347810177631,4.437938378570306,22,L3,resunet1d,True,6aa1cb3
M08-L1,10.0,snr_imp_scaled,12.999148453820402,3.672564740279968,22,L1,wavelet_unet,True,b497637
M08-L3,10.0,snr_imp_scaled,13.781436770121378,4.41544298707563,22,L3,wavelet_unet,True,6aa1cb3
M08-L4,10.0,snr_imp_scaled,13.90777774208355,4.14641000958561,22,L4,wavelet_unet,True,6aa1cb3
M_FE,10.0,snr_imp_scaled,10.075220302795602,5.314728063123507,22,,,,
M06-L1,20.0,snr_imp_scaled,11.698338030372792,4.160656498490743,22,L1,resunet1d,True,b497637
M06-L2,20.0,snr_imp_scaled,13.757133945902167,5.537237697465306,22,L2,resunet1d,True,6aa1cb3
M06-L3,20.0,snr_imp_scaled,13.64035590643603,5.327157042837752,22,L3,resunet1d,True,6aa1cb3
M08-L1,20.0,snr_imp_scaled,12.946549991402035,4.179628495123325,22,L1,wavelet_unet,True,b497637
M08-L3,20.0,snr_imp_scaled,14.7252034621828,5.189380763779858,22,L3,wavelet_unet,True,6aa1cb3
M08-L4,20.0,snr_imp_scaled,15.42120576352774,5.238433424135159,22,L4,wavelet_unet,True,6aa1cb3
M_FE,20.0,snr_imp_scaled,16.542912156934527,6.165524490582845,22,,,,
