epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000331,0.005181,0.002447,-0.539903,-0.906857,1.031726,256.821616
2,0.000665,0.001958,0.001642,2.090032,1.827014,0.992917,265.384053
3,0.000998,0.001686,0.001681,1.543673,1.061194,0.960453,257.474239
4,0.000999,0.001577,0.001433,1.876320,1.760107,1.000209,255.088880
5,0.000997,0.001468,0.001486,1.577011,1.433825,1.008243,258.941818
6,0.000993,0.001411,0.001313,2.611080,2.500984,0.995441,261.704373
7,0.000988,0.001324,0.001448,2.727406,2.529543,0.996191,257.357439
8,0.000981,0.001282,0.001199,3.315106,3.170172,1.002599,262.824672
9,0.000973,0.001253,0.001285,3.192589,3.075754,1.000697,255.937416
10,0.000963,0.001259,0.001152,3.384567,3.135987,0.983770,257.440803
11,0.000952,0.001226,0.001148,3.727132,3.350536,1.018870,257.364521
12,0.000940,0.001165,0.001319,2.562068,2.477935,1.006326,257.175615
13,0.000926,0.001230,0.001296,2.936829,2.828995,0.994176,260.447895
14,0.000911,0.001059,0.001143,3.367547,3.226353,1.009331,264.211910
15,0.000895,0.001003,0.001288,2.388117,2.263380,1.011732,260.687377
16,0.000877,0.001019,0.001114,3.517737,3.322354,1.015159,262.577120
17,0.000858,0.001049,0.001139,3.425127,3.290804,1.013498,266.220920
18,0.000839,0.000965,0.001149,3.332546,2.957031,1.029287,254.060229
19,0.000818,0.000914,0.001159,3.556843,3.446086,1.009325,256.972140
20,0.000796,0.000948,0.001179,3.310536,3.203325,1.002900,253.938331
21,0.000774,0.000939,0.001403,2.644777,2.431059,1.031881,260.825450
22,0.000750,0.000872,0.001201,2.983006,2.798651,1.014783,258.720642
23,0.000726,0.000821,0.001209,2.951125,2.825868,1.016378,260.310563
