epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000999,0.003940,0.001973,0.098762,-0.080172,1.014143,263.267349
2,0.000981,0.001850,0.001633,1.737755,1.584536,0.998750,261.186363
3,0.000940,0.001555,0.001526,1.947838,1.796511,0.994567,257.973168
4,0.000877,0.001456,0.001749,1.196356,1.054280,1.001588,369.662323
5,0.000797,0.001364,0.001266,3.023156,2.779659,1.014998,277.242966
6,0.000701,0.001305,0.001356,2.362332,2.236380,0.996732,258.069592
7,0.000596,0.001247,0.001174,3.577691,3.324211,0.978859,264.201519
8,0.000487,0.001209,0.001196,2.909576,2.809524,1.002187,268.061257
9,0.000378,0.001097,0.001149,3.455088,3.347800,0.999677,264.304757
10,0.000275,0.001058,0.001195,2.982573,2.879129,1.005194,256.703795
11,0.000183,0.001019,0.001172,3.175501,3.035358,1.011728,263.427812
12,0.000106,0.000993,0.001259,2.805824,2.687284,1.011554,253.707840
13,0.000048,0.000997,0.001145,3.267728,3.151068,1.010090,260.656779
14,0.000012,0.000918,0.001187,2.985988,2.868168,1.012207,264.665637
15,0.000000,0.000912,0.001197,2.955323,2.835809,1.012699,265.690757
