epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.009228,0.004996,-0.830536,-1.388587,0.943473,59.745647
2,0.000659,0.004065,0.002868,0.761384,0.444996,0.964280,61.129919
3,0.000993,0.002754,0.002515,1.106166,0.730672,0.958884,60.702057
4,0.000999,0.002624,0.002107,0.724647,0.485493,1.008082,60.646684
5,0.000997,0.002491,0.002305,0.476644,0.066023,1.014763,60.278961
6,0.000993,0.002036,0.001804,2.168995,1.939828,1.001409,61.989172
7,0.000988,0.002092,0.001931,2.087003,1.781312,1.000632,62.845410
8,0.000981,0.001791,0.001957,1.306370,1.025066,1.013265,70.676163
9,0.000973,0.001830,0.001681,2.276079,2.099369,1.008100,64.557563
10,0.000963,0.001766,0.001848,1.588430,1.350395,1.017048,66.152086
11,0.000952,0.001731,0.001592,2.366909,2.180111,1.007476,130.570181
12,0.000940,0.001904,0.001640,2.437871,2.210603,1.008451,62.295974
13,0.000926,0.001720,0.001836,2.888111,2.667647,0.983574,61.318500
14,0.000911,0.001682,0.001525,2.713539,2.616706,0.996185,60.476754
15,0.000895,0.001700,0.001712,2.713409,2.534233,0.991973,60.400053
16,0.000877,0.001622,0.001763,2.143914,1.918950,1.021093,60.961594
17,0.000859,0.001652,0.001528,2.740550,2.464321,1.018002,61.373690
18,0.000839,0.001451,0.001537,2.354482,2.126857,1.013471,60.077876
19,0.000818,0.001524,0.001590,2.691719,2.489557,1.009269,60.860402
20,0.000797,0.001471,0.001595,2.072886,1.794604,1.016952,60.566258
21,0.000774,0.001505,0.002166,0.684037,0.417464,1.032578,61.949664
