epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.009621,0.006661,-2.504442,-3.344768,0.955044,35.424863
2,0.000659,0.004833,0.002879,-0.755490,-0.993512,0.970486,39.718064
3,0.000993,0.002573,0.003816,-1.905657,-2.188952,1.023174,37.950490
4,0.000999,0.002305,0.002120,0.349276,0.122349,1.013828,88.556429
5,0.000997,0.002154,0.001867,1.090629,0.955806,0.996554,156.386725
6,0.000993,0.002036,0.002115,0.573455,0.118413,1.035993,72.063419
7,0.000988,0.002026,0.001857,1.256672,1.119264,0.984291,36.969207
8,0.000981,0.001676,0.001716,1.742625,1.579247,0.986652,36.694994
9,0.000973,0.001699,0.001794,1.291478,1.132718,1.010835,34.665836
10,0.000963,0.001695,0.001698,1.753749,1.651165,0.994379,36.422586
11,0.000952,0.001731,0.001859,1.318694,1.049479,1.025763,37.102063
12,0.000940,0.001804,0.001722,1.858341,1.702694,0.981755,52.169177
13,0.000926,0.001668,0.001710,1.917002,1.746880,0.987665,53.671518
14,0.000911,0.001575,0.001906,1.510124,1.392152,1.008203,51.031883
15,0.000895,0.001593,0.001537,2.147989,1.972888,1.009651,55.131985
16,0.000877,0.001515,0.001588,2.398533,2.278069,0.994038,54.325604
17,0.000859,0.001496,0.001609,1.529487,1.400479,1.007790,55.139267
18,0.000839,0.001410,0.001597,2.083705,1.874683,1.019181,55.011570
19,0.000818,0.001441,0.001656,1.944513,1.818700,0.993041,54.495027
20,0.000797,0.001377,0.001762,1.451075,1.303812,1.007293,52.153846
21,0.000774,0.001465,0.001647,1.945282,1.799854,0.990780,54.753635
22,0.000751,0.001407,0.001730,1.816927,1.640119,1.016082,58.118418
23,0.000726,0.001255,0.001670,1.828669,1.699029,1.004450,53.936224
24,0.000701,0.001293,0.001705,1.892665,1.712837,1.020464,52.237550
25,0.000676,0.001329,0.001735,1.380916,1.264078,1.005223,54.341319
26,0.000650,0.001306,0.001514,2.363745,2.218256,0.994131,53.191544
27,0.000623,0.001264,0.001559,2.322023,2.211824,1.003060,50.690607
28,0.000596,0.001430,0.001500,2.386134,2.251024,1.008408,51.426333
