epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008555,0.004938,-0.971649,-1.886255,1.009531,120.956460
2,0.000659,0.003370,0.003308,1.315223,0.895269,0.986431,66.781514
3,0.000993,0.002511,0.002256,1.966450,1.697831,0.986261,64.736425
4,0.000999,0.002117,0.001929,3.206949,3.067147,0.994439,63.833544
5,0.000997,0.002154,0.001955,2.477910,2.367644,0.991670,66.084487
6,0.000993,0.001786,0.002123,1.524349,1.326676,0.994867,65.403954
7,0.000988,0.002027,0.001839,2.859845,2.716382,0.994220,65.815187
8,0.000981,0.001618,0.001682,3.600773,3.440536,1.002274,65.129365
9,0.000973,0.001614,0.001847,3.593904,3.401143,0.981995,63.922776
10,0.000963,0.001617,0.001719,3.429109,3.281897,1.005277,65.248863
11,0.000952,0.001629,0.001948,2.115617,1.896036,0.994872,64.530625
12,0.000940,0.001843,0.001662,4.032426,3.896164,0.986738,68.685869
13,0.000926,0.001663,0.001633,3.151994,3.006316,0.999614,65.916491
14,0.000911,0.001527,0.001646,3.254266,3.086187,1.015248,64.046285
15,0.000895,0.001496,0.002452,1.536131,1.313388,1.032316,64.638539
16,0.000877,0.001522,0.001525,3.806908,3.631447,1.002407,64.742509
17,0.000859,0.001464,0.001587,3.636289,3.506740,1.008251,65.068298
18,0.000839,0.001340,0.001437,4.180133,4.064033,1.005428,65.588728
19,0.000818,0.001357,0.001600,3.645252,3.534635,1.005952,65.893428
20,0.000797,0.001328,0.001816,2.427554,2.285583,1.011067,70.483087
