epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.300539,0.090653,2.633310,1.575429,0.855040,60.762292
2,0.000659,0.115232,0.037366,3.425223,2.501054,0.874018,128.258611
3,0.000993,0.042950,0.025027,6.396962,5.699097,1.012927,53.691861
4,0.000999,0.031365,0.022487,7.116290,6.765999,0.986240,53.395460
5,0.000997,0.026696,0.022847,6.998850,6.612951,0.995217,52.131492
6,0.000993,0.023028,0.020931,7.389603,6.985609,0.998414,53.629829
7,0.000988,0.026308,0.021418,7.785294,7.558434,0.972505,52.252162
8,0.000981,0.020777,0.018920,7.847838,7.538993,1.001537,52.348583
9,0.000973,0.020040,0.018415,8.153831,7.865098,0.964188,54.182956
10,0.000963,0.020196,0.023022,7.619771,7.397837,0.969517,54.712264
11,0.000952,0.020785,0.019989,8.273336,7.923467,1.012187,53.744363
12,0.000940,0.019731,0.017322,8.360218,8.153940,0.979359,54.208149
13,0.000926,0.018190,0.018348,7.667004,7.367784,0.958100,52.641992
14,0.000911,0.018195,0.017672,8.554942,8.358070,0.990431,52.278202
