epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008644,0.005452,-0.102141,-0.671878,0.932440,33.086468
2,0.000659,0.003146,0.003068,1.104401,0.823621,0.986452,32.964360
3,0.000993,0.002691,0.003534,1.140639,0.658414,0.960966,35.054740
4,0.000999,0.002400,0.002803,2.271520,2.006406,0.958737,36.358711
5,0.000997,0.002313,0.003065,1.334219,0.945545,1.016170,31.213394
6,0.000993,0.001937,0.002426,2.091250,1.803337,1.008447,33.812670
7,0.000988,0.002049,0.002369,2.541164,2.282474,0.989071,34.491958
8,0.000981,0.002074,0.003132,2.886402,2.574275,0.958974,31.120333
9,0.000973,0.001851,0.002775,3.084108,2.754437,0.949187,29.094475
10,0.000963,0.001797,0.002271,2.737001,2.346973,0.960511,29.203200
11,0.000952,0.001901,0.002471,1.792345,1.551031,0.982061,29.968215
12,0.000940,0.001709,0.002283,2.304519,2.010860,1.016470,33.751123
13,0.000926,0.001553,0.001913,3.011069,2.715096,1.025517,30.497091
14,0.000911,0.001625,0.002145,2.355984,2.212910,1.007770,31.648639
15,0.000895,0.001444,0.001818,3.420670,3.195966,1.016732,29.964467
16,0.000877,0.001352,0.001882,3.310233,3.180142,0.986303,32.121871
17,0.000859,0.001498,0.001790,3.595117,3.413690,1.008430,30.222365
18,0.000839,0.001354,0.001842,3.465950,3.262145,1.009897,30.081150
19,0.000818,0.001596,0.002099,2.863298,2.611153,0.991947,29.298485
20,0.000797,0.001475,0.002024,2.921399,2.789111,0.997411,30.286646
21,0.000774,0.001386,0.002009,3.904596,3.711137,0.967245,29.193981
22,0.000751,0.001630,0.002239,2.478378,2.117187,1.030977,29.288550
23,0.000726,0.001482,0.001799,3.656424,3.537433,0.995170,29.368789
24,0.000701,0.001495,0.001700,3.642378,3.514785,1.012460,29.163742
25,0.000676,0.001307,0.002276,1.672872,1.564813,1.013652,30.391294
26,0.000650,0.001221,0.001619,4.022265,3.938691,1.000763,28.650712
27,0.000623,0.001229,0.002676,1.757209,1.599898,1.025236,30.647389
28,0.000596,0.001269,0.001897,3.766210,3.653225,0.985351,31.631585
29,0.000569,0.001380,0.001812,3.736848,3.623334,0.984791,30.851110
30,0.000542,0.001258,0.001643,3.741941,3.572594,1.012396,31.972086
31,0.000514,0.001202,0.001842,3.672226,3.545309,0.988506,30.449182
32,0.000487,0.001187,0.002569,1.875160,1.751211,1.026996,29.764228
33,0.000459,0.001294,0.001605,3.647813,3.560809,1.012528,27.741921
34,0.000432,0.001149,0.001591,3.675776,3.597194,1.006111,30.671916
35,0.000405,0.001073,0.001654,3.914162,3.807149,1.003083,30.494323
36,0.000378,0.001170,0.001844,2.954406,2.819174,1.023086,31.794063
37,0.000351,0.001074,0.001609,3.991319,3.928583,1.002614,31.135491
38,0.000325,0.001099,0.001646,4.062723,3.819588,1.020160,32.311827
39,0.000300,0.001037,0.001703,3.849987,3.759804,1.012698,32.915200
40,0.000275,0.001090,0.002199,2.888166,2.669489,1.033987,33.743792
41,0.000251,0.001016,0.001770,3.283318,3.221067,1.013295,32.918532
42,0.000227,0.001091,0.001508,3.952438,3.884531,0.997001,29.911768
43,0.000204,0.000997,0.001603,3.912388,3.830079,1.010769,29.369433
44,0.000183,0.001026,0.001703,3.535184,3.450576,1.016524,29.660047
45,0.000162,0.000996,0.001636,3.772926,3.713256,1.009150,29.213468
46,0.000142,0.000991,0.001459,4.392869,4.315168,1.008543,30.884263
47,0.000123,0.000923,0.001838,3.262213,3.129380,1.024699,29.738312
48,0.000106,0.001007,0.001503,4.077827,4.006785,1.009049,32.538215
49,0.000089,0.000996,0.001514,4.173473,4.091589,1.012444,33.683049
50,0.000074,0.000911,0.001493,4.164269,4.095295,1.009086,31.632680
51,0.000061,0.000892,0.001435,4.329526,4.258125,1.008436,43.700054
52,0.000048,0.000872,0.001495,4.247698,4.171170,1.012169,49.436588
53,0.000037,0.000916,0.001570,3.856893,3.783964,1.013853,29.119947
54,0.000027,0.000909,0.001507,4.118832,4.055063,1.009169,37.455898
55,0.000019,0.000974,0.001510,4.048384,3.981277,1.010820,61.142607
56,0.000012,0.000876,0.001497,4.130880,4.066808,1.008423,30.915801
57,0.000007,0.000890,0.001499,4.130303,4.065347,1.008632,40.171727
58,0.000003,0.000943,0.001504,4.091244,4.028652,1.008165,65.552849
