epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.000479,0.000283,0.151408,0.101230,0.999452,35.978714
2,0.000659,0.000296,0.000240,1.272414,1.211274,0.999311,36.112924
3,0.000993,0.000258,0.000212,1.560106,1.493723,1.000634,34.986935
4,0.000999,0.000284,0.000201,1.892755,1.671506,1.004931,35.527961
5,0.000997,0.000287,0.000200,1.356750,1.318524,0.999099,34.945628
6,0.000993,0.000252,0.000191,2.046497,2.005599,0.998119,35.258951
7,0.000988,0.000220,0.000189,2.374496,2.333779,0.996422,35.653704
8,0.000981,0.000224,0.000168,2.386454,2.322909,1.000779,34.887859
9,0.000973,0.000206,0.000168,2.596827,2.536400,1.000341,34.908507
10,0.000963,0.000193,0.000164,2.408706,2.369872,0.999148,34.947245
11,0.000952,0.000229,0.000171,2.356472,2.308973,0.999554,35.046896
12,0.000940,0.000248,0.000165,2.588391,2.538155,0.998914,35.981695
13,0.000926,0.000217,0.000167,1.763293,1.686260,1.001805,36.131985
14,0.000911,0.000220,0.000167,2.380578,2.323482,0.999897,38.279566
15,0.000895,0.000226,0.000165,2.395195,2.280806,1.003195,48.050428
16,0.000877,0.000206,0.000164,2.032318,1.952749,1.001818,41.493378
17,0.000859,0.000238,0.000165,2.493428,2.370289,1.000867,100.202495
18,0.000839,0.000199,0.000158,2.297376,2.240049,1.000791,93.153110
19,0.000818,0.000210,0.000163,2.099833,2.018298,1.002715,36.511596
