epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.024773,0.010980,2.574720,1.911020,0.888241,35.498725
2,0.000659,0.006766,0.004253,6.419621,6.171381,0.990088,35.246390
3,0.000993,0.003998,0.003466,6.874141,6.719443,0.987210,36.336977
4,0.000999,0.003784,0.003358,7.245724,7.008969,1.031637,36.709749
5,0.000997,0.003089,0.003487,6.821449,6.676595,1.005709,35.513273
6,0.000993,0.002760,0.003396,7.394056,7.241021,1.011007,35.059151
7,0.000988,0.002710,0.003334,7.446297,7.280556,1.014072,35.161408
8,0.000981,0.002568,0.002888,8.091155,7.950488,1.000774,35.784099
9,0.000973,0.002545,0.003605,7.140289,6.988562,1.010683,35.754554
10,0.000963,0.002542,0.003214,7.586023,7.457709,1.003738,35.675108
11,0.000952,0.002327,0.003237,7.595710,7.456305,1.013969,35.751495
12,0.000940,0.002367,0.002630,8.554950,8.353629,1.014092,37.444313
13,0.000926,0.002250,0.002594,8.560813,8.327741,1.024254,36.328513
14,0.000911,0.002117,0.002960,8.067321,7.888876,1.030982,36.201002
15,0.000895,0.002147,0.002734,8.588194,8.344207,1.042970,36.686473
16,0.000877,0.002099,0.002911,8.028460,7.885031,1.000347,36.559858
17,0.000859,0.001926,0.002556,8.650785,8.445711,1.023835,35.645900
18,0.000839,0.001979,0.002441,8.757092,8.618536,1.013078,35.126911
19,0.000818,0.001896,0.002560,8.420500,8.298021,1.002639,34.750044
20,0.000797,0.001907,0.002861,8.463357,8.301347,1.009554,36.176924
21,0.000774,0.001829,0.002600,8.501852,8.352226,1.008641,36.383561
22,0.000751,0.001696,0.002642,8.304066,8.173259,1.010217,36.173160
23,0.000726,0.001680,0.002898,7.734818,7.613129,0.999526,34.872989
24,0.000701,0.001673,0.002501,9.225631,9.077686,1.023583,35.634840
25,0.000676,0.001693,0.002691,8.349774,8.223242,0.995362,35.288999
26,0.000650,0.001636,0.002383,9.000653,8.854287,1.002831,34.884268
27,0.000623,0.001603,0.002883,8.660367,8.477716,1.021661,36.753758
28,0.000596,0.001635,0.002698,8.477260,8.321707,1.020520,36.660153
29,0.000569,0.001578,0.002605,8.798801,8.661300,1.013087,35.898450
30,0.000542,0.001564,0.002550,8.589902,8.428764,1.022776,36.188361
31,0.000514,0.001491,0.003410,7.768108,7.591498,1.032277,36.453352
32,0.000487,0.001530,0.003199,7.846358,7.714131,1.010936,35.142775
33,0.000459,0.001452,0.002359,9.267009,9.055079,1.024555,36.129915
34,0.000432,0.001428,0.002992,8.208693,8.061898,1.026547,35.917275
35,0.000405,0.001492,0.002863,8.280351,8.107562,1.024615,35.839217
36,0.000378,0.001389,0.002476,8.816034,8.667060,1.001960,36.783963
37,0.000351,0.001433,0.002598,8.526572,8.409858,1.005558,36.286496
38,0.000325,0.001397,0.002896,8.512136,8.259238,1.044307,35.757535
39,0.000300,0.001363,0.002509,9.022993,8.853267,1.021993,35.271874
40,0.000275,0.001369,0.002827,8.448923,8.186111,1.043273,34.995936
41,0.000251,0.001328,0.002474,9.018903,8.850075,1.026411,34.881020
42,0.000227,0.001305,0.002839,8.757716,8.587947,1.027007,35.946210
43,0.000204,0.001236,0.002711,8.699114,8.535190,1.025527,35.057179
44,0.000183,0.001345,0.002774,8.718243,8.569441,1.020876,35.759744
45,0.000162,0.001201,0.002664,8.684048,8.528109,1.019609,35.931970
