epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008554,0.004941,-0.976833,-1.892445,1.009790,23.513891
2,0.000659,0.003373,0.003316,1.334365,0.907042,0.986228,26.278552
3,0.000993,0.002520,0.002301,1.882964,1.611912,0.991021,25.503271
4,0.000999,0.002123,0.002012,3.118218,2.977511,0.981768,26.606643
5,0.000997,0.002195,0.001864,2.514221,2.347049,1.005850,26.688475
6,0.000993,0.001731,0.002034,2.481118,2.131223,1.019781,25.917406
7,0.000988,0.001904,0.001833,3.205539,2.989656,0.981662,25.729741
8,0.000981,0.001596,0.001712,3.856261,3.398485,0.966902,26.121122
9,0.000973,0.001643,0.001781,3.715637,3.577240,0.989276,25.606229
10,0.000963,0.001599,0.001687,3.411210,3.151950,0.975396,25.792984
11,0.000952,0.001618,0.001583,3.807862,3.562934,1.006619,28.312703
12,0.000940,0.001657,0.001570,4.081500,3.919404,0.992603,26.389730
13,0.000926,0.001562,0.001710,2.787258,2.655155,1.003907,25.883020
14,0.000911,0.001533,0.001579,3.511256,3.323948,1.018355,26.903052
15,0.000895,0.001500,0.002103,2.228503,1.946862,1.030576,26.412028
16,0.000877,0.001475,0.001587,3.891141,3.743990,1.010013,26.910264
17,0.000859,0.001495,0.001542,3.540824,3.396054,1.003672,27.369840
18,0.000839,0.001316,0.001598,3.712456,3.506182,1.018284,29.118792
19,0.000818,0.001329,0.001422,4.310446,4.178268,0.998086,26.266141
20,0.000797,0.001336,0.001577,3.912864,3.435876,1.028618,26.864062
21,0.000774,0.001354,0.001431,4.146968,4.016578,0.998719,27.316096
22,0.000751,0.001196,0.001633,3.644222,3.543655,1.004386,27.838100
23,0.000726,0.001109,0.001392,4.486839,4.378101,1.004249,27.217737
24,0.000701,0.001201,0.001598,3.089033,2.774009,1.025865,27.742406
25,0.000676,0.001233,0.001530,3.386453,3.255313,1.001236,26.234858
26,0.000650,0.001234,0.001360,4.607977,4.429829,1.010018,24.786573
27,0.000623,0.001131,0.001642,3.523729,3.291097,1.025387,27.304386
28,0.000596,0.001238,0.001498,3.842934,3.626277,1.014395,27.720605
29,0.000569,0.001104,0.001453,3.848916,3.574319,1.013973,28.073921
30,0.000542,0.001106,0.001414,4.105353,3.986772,1.002725,27.114577
31,0.000514,0.001142,0.001496,4.592220,4.267324,1.018859,26.766370
32,0.000487,0.001089,0.001600,3.893175,3.718460,1.016944,26.501360
33,0.000459,0.001098,0.001576,3.498555,3.269959,1.021726,26.178450
34,0.000432,0.001043,0.001332,4.544664,4.420644,0.998709,27.180460
35,0.000405,0.001139,0.001470,3.930761,3.713268,1.017265,27.311912
36,0.000378,0.001120,0.001442,4.151783,4.031504,1.000917,26.380728
37,0.000351,0.001054,0.001333,4.702886,4.581843,1.008102,26.506840
38,0.000325,0.001113,0.001378,4.273139,4.153649,0.994511,26.434724
39,0.000300,0.001004,0.001359,4.944313,4.799760,1.012995,26.241125
40,0.000275,0.000944,0.001582,3.711160,3.539526,1.019437,26.987131
41,0.000251,0.000960,0.001347,4.520991,4.336020,1.011423,26.794437
42,0.000227,0.000976,0.001341,4.679862,4.467564,1.011832,27.109873
43,0.000204,0.000939,0.001209,4.944600,4.841237,0.999739,26.659236
44,0.000183,0.001012,0.001427,3.639566,3.445337,1.016070,26.966919
45,0.000162,0.000873,0.001317,4.680437,4.520272,1.011406,27.129964
46,0.000142,0.000898,0.001343,4.445250,4.292888,1.012163,26.977385
47,0.000123,0.000851,0.001303,4.611436,4.461916,1.011104,26.773241
48,0.000106,0.000943,0.001401,4.487443,4.358670,1.010449,26.595260
49,0.000089,0.000909,0.001345,4.595700,4.423090,1.010101,26.067112
50,0.000074,0.000900,0.001408,4.289213,4.159389,1.013467,25.567468
51,0.000061,0.000933,0.001367,4.171295,4.062607,1.010584,25.538182
52,0.000048,0.000859,0.001351,4.613086,4.482913,1.011876,25.493579
53,0.000037,0.000877,0.001293,4.728315,4.591648,1.010675,26.316351
54,0.000027,0.000910,0.001412,4.272169,4.107044,1.014563,26.380371
55,0.000019,0.000870,0.001310,4.577384,4.453815,1.010497,26.064893
