epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008925,0.004645,-0.218709,-0.916357,0.970867,40.842407
2,0.000659,0.003408,0.002465,1.460386,1.259213,0.974224,40.806839
3,0.000993,0.002455,0.002248,2.319830,1.993508,0.976970,40.841988
4,0.000999,0.002283,0.001966,2.699702,2.447580,1.003811,40.780897
5,0.000997,0.002187,0.002086,2.566241,2.359975,0.984807,40.875097
6,0.000993,0.001899,0.002242,2.092623,1.332891,1.040914,41.393844
7,0.000988,0.001965,0.002149,2.680417,2.335835,1.020217,40.355442
8,0.000981,0.001651,0.001597,3.562545,3.420033,0.996632,40.308754
9,0.000973,0.001714,0.002748,1.045435,0.599131,1.042815,40.938543
10,0.000963,0.001720,0.001633,3.348985,3.131713,1.005627,41.130924
11,0.000952,0.001687,0.001664,3.122456,2.961698,0.994405,41.129434
12,0.000940,0.001831,0.002420,0.766980,0.536677,1.031024,41.071844
13,0.000926,0.001712,0.001726,2.824446,2.630791,1.012338,41.800961
14,0.000911,0.001488,0.001667,2.995211,2.866442,1.007549,41.841670
15,0.000895,0.001542,0.001611,2.799999,2.636967,1.012801,41.115673
16,0.000877,0.001557,0.001649,3.299728,3.041652,1.016421,41.031500
17,0.000859,0.001693,0.001656,2.896913,2.776285,1.007328,40.914085
18,0.000839,0.001440,0.001490,3.588740,3.467780,0.996673,41.547291
19,0.000818,0.001435,0.001728,3.210746,2.993847,0.986489,40.975549
20,0.000797,0.001554,0.001722,2.777179,2.571324,1.017065,40.484239
21,0.000774,0.001451,0.001928,2.628863,2.465357,1.015137,40.293820
22,0.000751,0.001375,0.001461,3.873046,3.725785,1.005052,40.985633
23,0.000726,0.001198,0.001482,3.401676,3.236625,1.010862,41.215574
24,0.000701,0.001314,0.001641,4.325896,4.200856,0.982963,40.654624
25,0.000676,0.001390,0.001329,4.271876,4.047832,1.003258,40.589976
26,0.000650,0.001364,0.001464,3.799360,3.598113,1.011736,40.899563
27,0.000623,0.001260,0.001385,4.028538,3.920302,0.995728,41.578329
28,0.000596,0.001350,0.001389,4.088164,3.876388,1.005526,41.070511
29,0.000569,0.001229,0.001503,3.542845,3.398116,0.992677,40.754065
30,0.000542,0.001297,0.001458,3.696746,3.517234,1.009135,40.537450
31,0.000514,0.001236,0.001361,3.969305,3.846342,1.005426,41.412889
32,0.000487,0.001188,0.001383,3.865973,3.703540,1.013370,40.742466
33,0.000459,0.001177,0.001474,3.310581,3.140011,1.014728,41.053072
34,0.000432,0.001138,0.001309,4.016045,3.868793,1.001277,40.902060
35,0.000405,0.001166,0.001413,3.604508,3.450694,1.012737,40.637318
36,0.000378,0.001213,0.001371,3.392479,3.144298,1.009615,41.137027
