epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008914,0.004403,-1.531781,-1.896892,0.964738,26.456573
2,0.000659,0.003288,0.002654,0.859355,0.539785,1.000119,26.651404
3,0.000993,0.002338,0.002333,0.850018,0.577447,1.020604,27.199826
4,0.000999,0.002158,0.001846,2.113178,1.850257,1.012882,26.776029
5,0.000997,0.002092,0.001989,1.117058,1.012036,1.008756,27.655196
6,0.000993,0.001762,0.001758,2.467552,2.060280,1.025112,28.347706
7,0.000988,0.001718,0.001540,3.133891,2.879880,1.006053,27.700750
8,0.000981,0.001549,0.001512,3.226469,2.994144,1.010298,26.688437
9,0.000973,0.001587,0.001633,2.448029,2.332384,0.993573,27.265445
10,0.000963,0.001619,0.001659,2.581739,2.151228,1.020199,26.265375
11,0.000952,0.001624,0.001586,3.197274,3.041943,0.994206,27.502041
12,0.000940,0.001864,0.001584,2.977744,2.831000,0.997456,28.002478
13,0.000926,0.001516,0.001483,3.145352,3.036637,0.999501,27.805238
14,0.000911,0.001450,0.001782,2.329527,2.165367,1.014129,27.576631
15,0.000895,0.001607,0.001666,3.497688,3.350790,0.986855,27.572788
16,0.000877,0.001528,0.001460,3.651928,3.523175,1.004499,26.693081
17,0.000859,0.001427,0.001595,3.095178,2.963648,1.003423,27.110661
18,0.000839,0.001283,0.001470,3.538330,3.368101,1.015169,26.916703
19,0.000818,0.001289,0.001341,4.075377,3.891075,1.006233,26.828547
20,0.000797,0.001288,0.001497,3.642646,3.299764,1.024809,28.319738
21,0.000774,0.001358,0.001488,3.471738,3.178624,1.021568,26.570889
22,0.000751,0.001204,0.001529,2.802925,2.663035,1.011156,26.482359
23,0.000726,0.001103,0.001342,4.282503,4.137323,1.006473,26.783435
24,0.000701,0.001219,0.001430,3.045570,2.888202,1.015216,26.223465
25,0.000676,0.001266,0.001311,4.327132,4.168285,0.984765,25.998718
26,0.000650,0.001306,0.001245,3.845647,3.704310,1.008703,26.624139
27,0.000623,0.001140,0.001232,4.112868,3.848548,1.012744,26.069179
28,0.000596,0.001246,0.001323,3.762436,3.625183,0.995437,26.373657
29,0.000569,0.001186,0.001396,3.406276,3.289589,1.006055,25.780257
30,0.000542,0.001135,0.001379,3.728579,3.549096,1.014756,25.776902
31,0.000514,0.001143,0.001170,4.189244,3.998022,1.008716,26.731830
32,0.000487,0.001117,0.001535,3.588308,3.353931,1.019613,26.005600
33,0.000459,0.001154,0.002063,2.076934,1.879660,1.027996,26.370051
34,0.000432,0.001078,0.001261,3.801565,3.667434,1.008172,27.432681
35,0.000405,0.001051,0.001250,3.959547,3.760390,1.013615,27.392433
36,0.000378,0.001046,0.001116,4.356465,4.230153,1.006961,26.622591
37,0.000351,0.001058,0.001211,4.072853,3.840365,1.017418,27.195314
38,0.000325,0.001123,0.001225,4.065533,3.952120,1.006528,26.009114
39,0.000300,0.001151,0.001296,4.114325,3.998091,0.999431,26.457828
40,0.000275,0.000991,0.001285,3.711544,3.504318,1.020551,26.846013
41,0.000251,0.000983,0.001569,2.676999,2.435387,1.026455,26.802577
42,0.000227,0.000979,0.001283,3.587184,3.440691,1.014893,27.968288
43,0.000204,0.000903,0.001531,2.985574,2.832814,1.018980,26.695909
44,0.000183,0.001042,0.001363,3.275970,3.134785,1.013048,26.522304
45,0.000162,0.000897,0.001303,3.831134,3.684100,1.014343,27.384257
46,0.000142,0.000936,0.001236,3.692455,3.543222,1.013242,27.536449
47,0.000123,0.000865,0.001178,4.065788,3.917072,1.011927,26.826780
48,0.000106,0.000958,0.001288,3.911175,3.780884,1.012991,26.828583
