epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008813,0.005117,-2.132923,-2.657021,0.992944,35.597333
2,0.000659,0.003255,0.002174,1.216938,0.683954,1.014948,35.662319
3,0.000993,0.002064,0.001962,2.027821,1.722104,1.011856,35.567018
4,0.000999,0.002106,0.001956,1.802562,1.562680,1.010588,35.329778
5,0.000997,0.001888,0.001717,2.483999,2.317001,0.992521,35.791108
6,0.000993,0.001550,0.001683,3.353889,2.789650,0.959387,35.187035
7,0.000988,0.001653,0.001943,1.631848,1.447815,1.017434,35.873838
8,0.000981,0.001447,0.001379,3.265386,3.108497,1.007508,35.414154
9,0.000973,0.001376,0.001475,3.409772,3.260722,1.011282,35.132379
10,0.000963,0.001359,0.001836,2.486060,2.090283,1.040993,35.028530
11,0.000952,0.001486,0.001389,3.345350,3.079981,0.992011,35.110935
12,0.000940,0.001467,0.001236,4.124846,3.976952,1.000924,35.522418
13,0.000926,0.001342,0.001341,3.327816,3.193824,1.002293,35.627280
14,0.000911,0.001357,0.001444,3.817873,3.659545,0.984435,35.723304
15,0.000895,0.001343,0.001271,4.050523,3.892695,1.005096,37.128036
