epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008710,0.003979,-1.857768,-2.278113,0.993339,26.425525
2,0.000659,0.003271,0.002228,0.184346,-0.078749,1.000462,25.060501
3,0.000993,0.002190,0.002017,0.531911,0.120460,1.026690,25.012297
4,0.000999,0.002045,0.003056,0.129846,-0.131893,1.035259,24.667546
5,0.000997,0.002088,0.001984,0.620164,0.291805,1.022922,25.011870
6,0.000993,0.001670,0.001770,1.535528,1.408162,1.006788,24.779356
7,0.000988,0.001854,0.002311,0.802574,0.568702,1.014296,28.713133
8,0.000981,0.001587,0.001572,1.994861,1.908148,0.996759,33.591947
9,0.000973,0.001689,0.001760,1.584730,1.388616,1.004631,26.226875
10,0.000963,0.001586,0.001759,1.868816,1.717044,0.996710,25.079606
11,0.000952,0.001608,0.001871,1.491413,1.156473,1.037259,24.831633
12,0.000940,0.001652,0.001560,2.373107,1.938082,1.024647,24.703456
13,0.000926,0.001463,0.001591,2.489838,2.328840,1.006310,24.708711
14,0.000911,0.001448,0.001555,2.279479,1.993110,1.017292,24.387674
15,0.000895,0.001512,0.001597,1.780778,1.598114,1.018596,25.192238
16,0.000877,0.001343,0.001406,2.742582,2.614752,1.009436,25.536182
17,0.000859,0.001417,0.001445,2.569355,2.384437,1.013917,25.117308
18,0.000839,0.001300,0.001473,2.558150,2.446569,0.998089,26.285333
19,0.000818,0.001401,0.001504,2.356375,2.236063,1.006145,25.187328
20,0.000797,0.001329,0.001621,2.248235,2.077947,0.996013,27.013185
21,0.000774,0.001446,0.002133,1.074736,0.768839,1.036080,25.131482
22,0.000751,0.001198,0.001459,2.164690,2.064761,1.009682,25.418580
23,0.000726,0.001119,0.001525,2.334230,2.143368,1.014055,25.064569
24,0.000701,0.001215,0.001326,2.862013,2.753761,1.002136,25.315097
25,0.000676,0.001183,0.001436,2.433083,2.319472,0.997999,25.270679
26,0.000650,0.001164,0.001403,2.612903,2.440219,1.014070,25.220845
27,0.000623,0.001084,0.001288,3.227687,3.115590,0.996410,25.248508
28,0.000596,0.001453,0.001492,2.643053,2.507299,1.001037,25.260476
29,0.000569,0.001152,0.001342,2.703055,2.561253,1.010926,25.132250
30,0.000542,0.001146,0.001397,2.772566,2.567021,1.021016,24.457214
31,0.000514,0.001127,0.001769,1.563848,1.352046,1.033472,25.392117
32,0.000487,0.001118,0.001503,2.083252,1.885964,1.024891,24.835842
33,0.000459,0.001080,0.001387,2.526021,2.420599,1.004336,25.133923
34,0.000432,0.001008,0.001218,3.425686,3.272573,1.005795,24.409182
35,0.000405,0.001046,0.001335,2.708306,2.560038,1.013579,25.209338
36,0.000378,0.001064,0.001448,2.165695,2.059325,1.012026,24.702549
37,0.000351,0.001004,0.001272,2.955178,2.811174,1.015231,24.938150
38,0.000325,0.001038,0.001345,2.996172,2.860240,1.006248,24.748563
39,0.000300,0.001077,0.001549,2.239144,2.067157,1.019034,25.727180
40,0.000275,0.000946,0.001342,2.802496,2.664094,1.013033,24.964144
41,0.000251,0.000946,0.001275,3.006060,2.870126,1.008005,25.583039
42,0.000227,0.001002,0.001292,3.131688,2.972133,1.014156,24.997754
43,0.000204,0.000900,0.001312,2.903866,2.765060,1.004879,25.517377
44,0.000183,0.000984,0.001397,2.502513,2.383508,1.010661,25.495484
45,0.000162,0.000860,0.001425,2.503296,2.373229,1.013489,25.683720
46,0.000142,0.000885,0.001396,2.559865,2.401378,1.018538,25.108167
