epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.009085,0.004540,0.422617,-0.085827,0.946646,26.042337
2,0.000659,0.003815,0.002552,2.094571,1.715590,0.978072,26.063240
3,0.000993,0.002953,0.002435,1.018075,0.667259,0.992605,25.424219
4,0.000999,0.002792,0.002291,2.618769,2.137141,0.988566,26.627774
5,0.000997,0.002548,0.002115,3.207136,2.971031,0.971768,25.696583
6,0.000993,0.002259,0.001917,3.108750,2.902422,0.982073,26.089125
7,0.000988,0.002197,0.002317,1.228933,0.819861,1.005392,25.794629
8,0.000981,0.001961,0.001941,2.698958,2.506941,0.985692,25.275672
9,0.000973,0.001906,0.002022,3.065663,2.862362,0.979016,26.201757
10,0.000963,0.001932,0.001761,3.409660,3.245786,0.985280,25.624484
11,0.000952,0.002012,0.001994,2.171022,1.860561,1.011224,25.963818
12,0.000940,0.002055,0.001772,3.472767,3.305503,0.983909,26.258758
13,0.000926,0.001794,0.002303,1.649927,1.189748,1.044985,25.229164
14,0.000911,0.001737,0.001966,1.976055,1.747234,1.017621,25.883050
15,0.000895,0.001760,0.001935,1.943399,1.698381,1.012702,25.782677
16,0.000877,0.001860,0.001632,3.460653,3.177653,1.003458,25.614542
17,0.000859,0.001771,0.001726,2.714413,2.550950,1.000564,25.810381
18,0.000839,0.001571,0.001538,3.476513,3.311023,0.999900,25.639289
19,0.000818,0.001675,0.001761,3.034890,2.588893,1.008059,25.895889
20,0.000797,0.001595,0.001686,2.752741,2.588289,0.995682,25.921237
21,0.000774,0.001613,0.001763,2.555835,2.302425,1.024564,25.824249
22,0.000751,0.001501,0.001643,2.839303,2.699416,1.014063,25.671644
23,0.000726,0.001437,0.001533,3.376715,3.264623,0.997880,25.801048
24,0.000701,0.001498,0.001534,3.366229,2.993309,1.016182,25.396481
25,0.000676,0.001491,0.001643,2.982602,2.613769,1.026092,25.328522
26,0.000650,0.001442,0.001476,4.024454,3.855091,1.002888,25.991733
27,0.000623,0.001335,0.001482,3.395996,2.982987,1.021264,25.670268
28,0.000596,0.001587,0.001925,2.473811,2.247616,1.021724,26.004911
29,0.000569,0.001326,0.001531,3.544383,3.365806,1.001496,26.197758
30,0.000542,0.001424,0.001524,3.126870,2.780366,1.022713,25.526920
31,0.000514,0.001369,0.001589,3.315799,3.004815,1.019095,26.442279
32,0.000487,0.001329,0.001362,4.166076,3.993902,1.001264,25.665519
33,0.000459,0.001342,0.001592,3.123046,2.940068,1.014549,25.854572
34,0.000432,0.001274,0.001641,2.776604,2.653219,1.012699,25.994690
35,0.000405,0.001346,0.001545,3.188445,3.063530,1.002962,25.319416
36,0.000378,0.001297,0.001497,3.135466,2.972496,1.009711,25.713600
37,0.000351,0.001294,0.001529,3.592195,3.408672,1.011899,25.981311
38,0.000325,0.001302,0.001419,3.808821,3.637005,1.010131,26.001443
39,0.000300,0.001252,0.001543,3.405589,3.199985,1.015841,26.767072
40,0.000275,0.001167,0.001562,2.957004,2.709558,1.023142,25.999056
41,0.000251,0.001216,0.001478,3.562370,3.341224,1.019786,26.009433
42,0.000227,0.001171,0.001353,3.980496,3.704023,1.016368,25.889813
43,0.000204,0.001100,0.001672,2.346690,2.091909,1.030552,25.833895
44,0.000183,0.001295,0.001401,3.790241,3.648698,1.006958,25.688970
