run_id,arm,seed,n_params,loss,best_metric,best_epoch,n_epochs,wall_s,sec_per_epoch,source,fixed_snr_in,fixed_snr_imp_strict,fixed_snr_imp_scaled,fixed_gain_bias,fixed_rmse,fixed_loss,band_-5_0,band_0_5,band_5_10,band_10_15,band_15_20,env_git_commit,env_python,env_torch,env_platform,env_device,env_amp,env_threads,env_gpu,env_cuda,env_cudnn
m06_l1__s0,m06_l1,0,976489,L1,3.4256855994462967,34,46,1175.3,25.55,mitdb,15.496415397292003,3.9316613629460333,4.096881368756295,1.0063698028214276,0.027131868805736304,0.00113533100229688,9.431643805652858,6.990824678167701,4.389751406759023,1.4351848542690278,-1.8886478751897813,e4d1a9fc822935340764bcabb1432d3838bc5abc,3.12.11,2.8.0+cu128,Linux-6.8.0-1063-aws-x86_64-with-glibc2.39,cuda,False,2,Tesla T4,12.8,91002
m06_l1__s1,m06_l1,1,976489,L1,4.913539408892393,37,49,1238.5,25.28,mitdb,15.496415397292003,3.967133428901434,4.160135341435671,1.010820326115936,0.027853886994489586,0.0012467009015381335,9.09026758223772,6.759297100454569,4.320692962408065,1.6172323167324065,-1.320647630095482,e4d1a9fc822935340764bcabb1432d3838bc5abc,3.12.11,2.8.0+cu128,Linux-6.8.0-1063-aws-x86_64-with-glibc2.39,cuda,False,2,Tesla T4,12.8,91002
m06_l1__s2,m06_l1,2,976489,L1,4.673889894038439,27,39,989.7,25.38,mitdb,15.496415397292003,4.20259767845273,4.322379793226719,0.9950979699380695,0.027185271231428488,0.0011851232906337828,9.200634890794754,6.94927573390305,4.615718878805637,1.9632619082927705,-1.1220008887350559,e4d1a9fc822935340764bcabb1432d3838bc5abc,3.12.11,2.8.0+cu128,Linux-6.8.0-1063-aws-x86_64-with-glibc2.39,cuda,False,2,Tesla T4,12.8,91002
m06_l1__s3,m06_l1,3,976489,L1,4.307634787634015,36,48,1234.0,25.71,mitdb,15.496415397292003,3.778955886512995,3.948269832879305,1.0091977673582733,0.02809734760521678,0.0012512497080024332,9.140979935601354,6.709881942719221,4.127157167345286,1.2786921948194503,-1.832331931591034,e4d1a9fc822935340764bcabb1432d3838bc5abc,3.12.11,2.8.0+cu128,Linux-6.8.0-1063-aws-x86_64-with-glibc2.39,cuda,False,2,Tesla T4,12.8,91002
m06_l1__s4,m06_l1,4,976489,L1,3.8832763969898223,18,30,1081.5,36.05,mitdb,15.496414953976636,3.1487047098577023,3.2730453230440615,1.0021911174058915,0.029147414291946915,0.001310256536817178,8.501871382445097,6.206757673621178,3.725949013978243,0.6156606823205948,-2.9718669652938843,e4d1a9fc822935340764bcabb1432d3838bc5abc,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4,,,
m06_l1__s5,m06_l1,5,976489,L1,3.919682076573372,22,34,1179.8,34.7,mitdb,15.496414953976636,3.4018920537084343,3.562414475902915,1.0015351409092546,0.02913860545377247,0.001346941920928657,8.5313647441566,6.291511473432183,3.9604196354746817,1.1964584477245808,-2.0071409486234186,8bbe5569c739ddc4a82dad18c59fd3524ef9d203,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4,,,
m06_l1_deep2__s0,m06_l1_deep2,0,970474,L1,2.465378297865391,10,22,561.7,25.53,mitdb,15.496415397292003,2.728384432569146,2.9559177845716476,0.9982585569843649,0.032444891698105494,0.0017032966017723084,7.5225822675973175,5.3649824108928446,3.3256628081202506,0.7867262683808803,-2.138898462802172,e4d1a9fc822935340764bcabb1432d3838bc5abc,3.12.11,2.8.0+cu128,Linux-6.8.0-1063-aws-x86_64-with-glibc2.39,cuda,False,2,Tesla T4,12.8,91002
m06_l1_deep2__s1,m06_l1_deep2,1,970474,L1,4.74407621473074,30,42,1069.1,25.45,mitdb,15.496415397292003,3.7943963654339314,3.9065053179860114,0.9919348731637001,0.028596140091394773,0.001347896078368649,8.685087282583117,6.5589988604187965,4.317300297319889,1.6238833628594875,-1.4179721012711526,e4d1a9fc822935340764bcabb1432d3838bc5abc,3.12.11,2.8.0+cu128,Linux-6.8.0-1063-aws-x86_64-with-glibc2.39,cuda,False,2,Tesla T4,12.8,91002
m06_l1_deep2__s2,m06_l1_deep2,2,970474,L1,3.850888638198376,31,43,1103.5,25.66,mitdb,15.496415397292003,3.2291178066283464,3.436090649291873,0.992822399828583,0.03095239283356932,0.0015843337576370686,7.970753076672554,5.7859464738518,3.759080619364977,1.3502586238086223,-1.4470837093889712,e4d1a9fc822935340764bcabb1432d3838bc5abc,3.12.11,2.8.0+cu128,Linux-6.8.0-1063-aws-x86_64-with-glibc2.39,cuda,False,2,Tesla T4,12.8,91002
m06_l1_deep2__s3,m06_l1_deep2,3,970474,L1,3.742768632620573,15,27,695.5,25.76,mitdb,15.496415397292003,3.2042661352083086,3.345125225931406,0.9984537960961462,0.030417858717555646,0.001499174942728132,8.076248002797366,6.0061800763010975,3.7409781157970428,1.0891760043799876,-2.058245814591646,e4d1a9fc822935340764bcabb1432d3838bc5abc,3.12.11,2.8.0+cu128,Linux-6.8.0-1063-aws-x86_64-with-glibc2.39,cuda,False,2,Tesla T4,12.8,91002
