epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008525,0.003907,-0.422921,-0.789460,0.953905,35.888245
2,0.000659,0.003098,0.002124,2.025880,1.655509,0.991802,35.672257
3,0.000993,0.002037,0.001880,2.225088,2.064716,1.003289,36.044695
4,0.000999,0.001998,0.002257,1.289406,0.843518,1.040644,35.761725
5,0.000997,0.001971,0.001792,2.393559,2.209074,1.012776,35.876417
6,0.000993,0.001579,0.001703,2.704239,2.339075,1.029378,35.777629
7,0.000988,0.001733,0.001703,2.903254,2.567343,1.027142,35.544232
8,0.000981,0.001416,0.001661,2.410673,2.261817,1.008876,36.163611
9,0.000973,0.001472,0.001285,3.852036,3.667298,1.005313,35.587084
10,0.000963,0.001438,0.001653,2.610614,2.444828,1.017437,36.352509
11,0.000952,0.001577,0.002050,2.751857,2.376473,1.037076,35.960132
12,0.000940,0.001626,0.001296,3.263486,3.137390,1.003104,36.171242
13,0.000926,0.001422,0.001409,2.994988,2.744947,1.021753,36.212056
14,0.000911,0.001348,0.001311,3.850170,3.754853,0.990649,35.669733
15,0.000895,0.001379,0.001243,3.908820,3.787851,1.000320,36.445143
16,0.000877,0.001273,0.001245,3.668753,3.481178,1.014597,36.209735
17,0.000859,0.001300,0.001228,3.978481,3.887965,0.994505,36.251146
18,0.000839,0.001224,0.001279,3.746694,3.635072,1.001768,36.600581
19,0.000818,0.001281,0.001204,3.828381,3.651693,1.015630,36.260969
20,0.000797,0.001213,0.001209,3.544620,3.387972,1.012866,35.999742
21,0.000774,0.001225,0.001753,2.039183,1.899207,1.014330,36.008066
22,0.000751,0.001095,0.001140,3.966983,3.801232,1.014761,36.963472
23,0.000726,0.001013,0.001062,4.366251,4.276354,0.999226,36.633207
24,0.000701,0.001117,0.001317,3.300419,3.182343,1.010602,36.655299
25,0.000676,0.001109,0.001056,4.568568,4.439786,1.007565,36.827493
26,0.000650,0.001159,0.001411,3.228598,3.065587,1.014832,36.530807
27,0.000623,0.001090,0.001047,4.278529,4.165360,1.006304,36.841933
28,0.000596,0.001170,0.001085,4.266118,4.134959,1.003925,37.275547
29,0.000569,0.001054,0.001125,3.820038,3.687680,1.008046,36.831457
30,0.000542,0.001053,0.001112,4.137705,3.952097,1.012735,36.125594
31,0.000514,0.001062,0.001323,2.985163,2.791705,1.019300,36.418929
32,0.000487,0.000988,0.001173,4.003829,3.826719,1.019326,36.304563
33,0.000459,0.001002,0.001022,4.346981,4.189037,1.006445,36.715226
34,0.000432,0.000964,0.001099,4.180200,4.042621,1.009835,36.314591
35,0.000405,0.000986,0.001093,4.068542,3.914706,1.016218,35.933995
36,0.000378,0.001016,0.001141,3.998258,3.688952,1.025514,36.206697
37,0.000351,0.001009,0.001239,3.607637,3.429232,1.017514,36.320063
