epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.033959,0.024856,1.614088,0.976054,0.930149,40.501173
2,0.000659,0.019603,0.015529,2.955816,2.739221,0.975656,40.416441
3,0.000993,0.015535,0.014497,3.085089,2.890341,1.000631,40.790164
4,0.000999,0.014911,0.013244,3.817545,3.675033,0.984731,41.590751
5,0.000997,0.013936,0.012593,4.104176,3.989266,0.985419,40.603584
6,0.000993,0.012790,0.013123,4.188278,4.053363,0.977723,40.507974
7,0.000988,0.012471,0.012927,3.789906,3.683564,0.995396,40.452734
8,0.000981,0.012004,0.012004,4.510739,4.352700,1.005933,40.618399
9,0.000973,0.011907,0.012456,4.104123,4.001655,1.006128,40.153152
10,0.000963,0.011561,0.011507,5.140074,5.039922,0.992904,39.883425
11,0.000952,0.011493,0.011509,4.521281,4.417228,0.996420,40.798318
12,0.000940,0.011416,0.010955,5.077225,4.928109,1.002984,40.666572
13,0.000926,0.011196,0.011813,4.282235,4.164085,1.007494,39.932993
14,0.000911,0.011488,0.011220,4.855409,4.758819,0.997790,40.214099
15,0.000895,0.011119,0.011060,4.707619,4.611121,0.998280,40.421766
16,0.000877,0.010667,0.010845,5.070083,4.929777,0.998257,40.917971
17,0.000859,0.010755,0.011525,4.649152,4.519542,1.007748,40.167328
18,0.000839,0.010531,0.010830,4.889918,4.807015,0.998169,40.552602
19,0.000818,0.010404,0.011866,4.019253,3.922163,0.999525,39.905710
20,0.000797,0.010153,0.011185,4.681632,4.584663,0.993864,41.062391
21,0.000774,0.010137,0.010158,5.608809,5.500176,1.000668,41.244087
22,0.000751,0.009766,0.011227,4.590740,4.493505,1.003700,40.522427
23,0.000726,0.009568,0.010427,5.366545,5.272968,1.000022,40.391696
24,0.000701,0.009778,0.011074,4.654491,4.550874,1.006467,40.282839
25,0.000676,0.009641,0.011389,4.463704,4.356458,1.005975,40.841335
26,0.000650,0.009755,0.012428,3.837104,3.731846,1.011221,40.690687
27,0.000623,0.009599,0.010761,4.992269,4.862734,1.009387,40.787547
28,0.000596,0.009765,0.011435,4.622602,4.527439,1.007094,40.431921
29,0.000569,0.009230,0.012132,3.983664,3.874422,1.008546,40.801985
30,0.000542,0.009304,0.011408,4.424074,4.285063,1.013526,40.426421
31,0.000514,0.009267,0.011448,4.348981,4.187788,1.018812,40.629848
32,0.000487,0.009152,0.011082,4.733391,4.626502,1.009519,40.740277
33,0.000459,0.009104,0.011187,4.494815,4.400489,1.006549,40.516833
