epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.033880,0.025234,1.634063,1.081261,0.913972,39.431615
2,0.000659,0.021290,0.017277,3.216513,2.825077,0.973666,39.914826
3,0.000993,0.017678,0.015937,3.791760,3.578238,0.972504,39.979404
4,0.000999,0.018083,0.015054,4.024841,3.789166,0.977029,39.510425
5,0.000997,0.016993,0.015674,3.285819,3.001824,0.963476,38.706288
6,0.000993,0.015156,0.014983,3.657340,3.458701,1.002505,39.023058
7,0.000988,0.015037,0.014015,4.267020,4.127657,0.984004,39.177013
8,0.000981,0.013956,0.013278,4.668126,4.540511,0.991030,39.685672
9,0.000973,0.013923,0.013479,4.388838,4.247121,1.001068,39.486601
10,0.000963,0.013995,0.012710,4.861900,4.745270,0.995579,39.407209
11,0.000952,0.013742,0.012866,4.741165,4.586870,0.984474,39.745979
12,0.000940,0.013944,0.013341,4.452386,4.281605,1.002793,39.468349
13,0.000926,0.013446,0.012446,4.919875,4.791466,0.995624,39.245081
14,0.000911,0.013798,0.012591,4.942619,4.819675,0.999324,39.582943
15,0.000895,0.012821,0.012399,5.023064,4.897738,0.996348,39.253850
16,0.000877,0.012919,0.012736,5.071981,4.936641,0.977735,39.685791
17,0.000859,0.013165,0.013377,4.420702,4.296321,1.008278,39.884086
18,0.000839,0.012478,0.012099,5.097947,5.001294,0.988820,40.333845
19,0.000818,0.012400,0.011613,5.369986,5.261391,0.988908,39.769480
20,0.000797,0.012078,0.011679,5.306777,5.176870,0.999673,39.429358
21,0.000774,0.012466,0.012569,4.733206,4.610244,0.998215,39.502114
22,0.000751,0.012173,0.011396,5.317259,5.216248,0.991550,39.475828
23,0.000726,0.011149,0.012163,5.110103,4.980963,1.000510,39.792023
24,0.000701,0.011380,0.011980,5.211480,5.104538,1.004904,39.107251
25,0.000676,0.011630,0.011978,5.283457,5.156875,0.980246,39.087637
26,0.000650,0.012158,0.012474,4.597286,4.439950,1.007716,40.212644
27,0.000623,0.011392,0.011737,5.222315,5.116234,0.998961,40.131541
28,0.000596,0.011657,0.011555,5.383203,5.275355,1.000197,39.662625
29,0.000569,0.010625,0.011220,5.633496,5.527617,0.998022,39.122631
30,0.000542,0.010814,0.011387,5.364090,5.273636,1.000611,39.817724
31,0.000514,0.010590,0.011312,5.513950,5.405514,0.996145,39.218010
32,0.000487,0.010469,0.011592,5.270898,5.162711,0.999279,39.296202
33,0.000459,0.010552,0.011854,4.980932,4.881259,1.000708,39.564646
34,0.000432,0.010537,0.011648,5.316955,5.227526,1.000554,38.808388
35,0.000405,0.010402,0.011991,5.132518,5.024722,1.005198,40.243695
36,0.000378,0.010588,0.011579,5.440253,5.309442,1.005419,39.335081
37,0.000351,0.010358,0.011339,5.481454,5.353525,1.000918,39.582383
38,0.000325,0.010362,0.012044,5.082600,4.983828,1.003861,39.781445
39,0.000300,0.010306,0.011610,5.298829,5.163558,1.002870,39.513980
40,0.000275,0.009867,0.011316,5.500500,5.383267,1.004728,40.920339
41,0.000251,0.009885,0.012247,5.020082,4.909809,1.005880,39.801180
