run_id,arm,seed,n_params,loss,best_metric,best_epoch,n_epochs,wall_s,sec_per_epoch,source,fixed_snr_in,fixed_snr_imp_strict,fixed_snr_imp_scaled,fixed_gain_bias,fixed_rmse,fixed_loss,band_-5_0,band_0_5,band_5_10,band_10_15,band_15_20,env_git_commit,env_python,env_torch,env_platform,env_device,env_amp,env_threads
m06_cond__s0,m06_cond,0,974693,L1,3.592534516006708,25,37,1294.1,34.97,mitdb,15.496414953976636,4.18464110866189,4.289669463783502,0.9991363050416112,0.02677500328682072,0.0011002201528754086,8.808457432687282,6.328212640807033,4.058919850550592,1.8983782157301903,-0.015176758915185929,f22f45324753f26bf1f4da8eb0d8c7e48d1a32e6,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v37-x86_64-with-glibc2.39,cpu,False,4
m06_cond__s4,m06_cond,4,974693,L1,4.667470648884773,35,47,1660.2,35.32,mitdb,15.496414953976636,4.049696666747332,4.174676696211099,1.003845630493015,0.027325089286023285,0.0011407317069824785,8.883190190419555,6.323191062733531,3.984206762164831,1.7566456273198128,-0.1993705429136753,c708813f52c80eab31913e27e2a83f96fc0388bc,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m06_cond__s5,m06_cond,5,974693,L1,4.4884026445448395,32,44,1569.3,35.67,mitdb,15.496414953976636,4.072565483301878,4.263774814456701,1.0184332254342734,0.027367965302619267,0.0011504677124321461,8.72816792409867,6.251735814288258,3.950171106308699,1.7594552427530288,0.24560297653079033,4ef57585cf989cd7a8e302b7e62c6798d6c7b945,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m06_cond_l6__s4,m06_cond_l6,4,974693,L6,5.64620649293065,16,28,1138.1,40.65,mitdb,15.496414953976636,5.288045417517424,5.3857144430279735,0.993727640202269,0.02628837296160782,0.010540079139173032,9.061633940786123,6.958025254309177,5.041862268745899,3.6162846460938454,1.8056421533226967,71af4bad0e580314d0a180e9560ad262b74307f6,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m06_cond_l6__s5,m06_cond_l6,5,974693,L6,5.608809444308281,21,33,1339.5,40.59,mitdb,15.496414953976636,5.264038559794426,5.365326046198606,1.0002718784846365,0.026111078258145425,0.010338374087587,9.167161322385073,6.888181678578258,4.779472260177135,3.1554401248693464,2.0473104767501353,4ef57585cf989cd7a8e302b7e62c6798d6c7b945,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m06_l1__s0,m06_l1,0,976489,L1,3.436708177626133,34,46,1612.5,35.05,mitdb,15.496414953976636,3.904259780794382,4.065054681152105,1.0055131726898252,0.027114023688045562,0.0011296707321889698,9.436192809045314,6.9722379997372625,4.391702716052532,1.4308725386857986,-1.9408331118524074,55944c68d263e66c8d56bbe3e059f7a089a52618,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v37-x86_64-with-glibc2.39,cpu,False,4
m06_l1__s4,m06_l1,4,976489,L1,3.8832763969898223,18,30,1154.6,38.49,mitdb,15.496414953976636,3.1487047098577023,3.2730453230440615,1.0021911174058915,0.029147414291946915,0.001310256536817178,8.501871382445097,6.206757673621178,3.725949013978243,0.6156606823205948,-2.9718669652938843,f6e8771e753b6ba465defb04128d32a3878cb9bf,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m06_l1__s5,m06_l1,5,976489,L1,3.919682076573372,22,34,1181.7,34.76,mitdb,15.496414953976636,3.4018920537084343,3.562414475902915,1.0015351409092546,0.02913860545377247,0.001346941920928657,8.5313647441566,6.291511473432183,3.9604196354746817,1.1964584477245808,-2.0071409486234186,71af4bad0e580314d0a180e9560ad262b74307f6,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m06_l6__s0,m06_l6,0,976489,L6,4.800391813740134,37,49,1981.5,40.44,mitdb,15.496414953976636,5.349715973436832,5.4606964636594055,0.9918597000651062,0.02743782750444552,0.011305798217654229,8.925905720889569,7.235651861876249,5.428355146944523,3.629149501025677,2.0849072776734827,f22f45324753f26bf1f4da8eb0d8c7e48d1a32e6,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v37-x86_64-with-glibc2.39,cpu,False,4
m06_l6__s4,m06_l6,4,976489,L6,5.738631933927536,31,43,1696.9,39.46,mitdb,15.496414953976636,5.460270634293556,5.565942736715078,1.0033535267226399,0.027078332073961063,0.011319823749363422,9.03072112686932,7.257396798953414,5.444798624515533,3.5557168908417225,1.7888989746570587,c708813f52c80eab31913e27e2a83f96fc0388bc,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m06_l6__s5,m06_l6,5,976489,L6,5.63349561393261,29,41,1623.9,39.61,mitdb,15.496414953976636,5.252905608341098,5.349029025062919,0.9986855050548911,0.027473232588909012,0.01137602822855115,8.866085137426854,7.179012705758214,5.274842673540116,3.4587817870080473,1.794662392884493,71af4bad0e580314d0a180e9560ad262b74307f6,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
