epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008675,0.003375,-1.119414,-1.723452,0.993733,34.690505
2,0.000659,0.003359,0.002205,0.430816,0.128310,0.987879,35.125227
3,0.000993,0.002535,0.001788,1.394118,1.159936,0.990762,35.764693
4,0.000999,0.002260,0.002372,-0.060172,-0.590648,1.042872,35.063701
5,0.000997,0.002207,0.001859,1.110576,0.933785,1.001645,34.915736
6,0.000993,0.001704,0.002321,0.287253,0.026984,1.028804,34.832609
7,0.000988,0.001780,0.001824,0.467929,0.044509,1.031833,35.322988
8,0.000981,0.001619,0.001424,2.074566,1.926108,0.985461,35.651299
9,0.000973,0.001630,0.002747,-0.049770,-0.465710,1.045366,35.388784
10,0.000963,0.001646,0.001696,1.225613,0.927791,1.012567,36.122830
11,0.000952,0.001598,0.001511,1.846658,1.623409,1.015023,34.735948
12,0.000940,0.001658,0.001551,1.113548,0.924925,1.015337,34.342544
13,0.000926,0.001585,0.001441,2.492883,2.118670,1.013558,33.194156
14,0.000911,0.001428,0.001376,2.274031,2.014587,1.009582,34.756623
15,0.000895,0.001542,0.001478,1.972528,1.664518,1.025041,34.080322
16,0.000877,0.001486,0.001390,2.272887,2.018745,1.015694,34.624167
17,0.000859,0.001578,0.001583,1.125102,0.838928,1.022685,34.094195
18,0.000839,0.001382,0.001322,2.406501,2.187768,1.008015,33.030113
19,0.000818,0.001414,0.001457,1.625217,1.482597,1.003454,32.898605
20,0.000797,0.001334,0.001834,0.980640,0.786724,1.018083,33.537673
21,0.000774,0.001360,0.001450,2.334783,2.129266,1.008770,33.463732
22,0.000751,0.001210,0.001261,2.863484,2.711808,0.999588,33.808678
23,0.000726,0.001090,0.001515,2.173321,2.003821,1.003035,33.440434
24,0.000701,0.001188,0.001303,2.467694,2.334419,1.002814,34.798913
25,0.000676,0.001193,0.001569,1.547487,1.365253,1.009528,33.261362
26,0.000650,0.001218,0.001473,2.155430,1.999348,1.006525,34.559867
27,0.000623,0.001194,0.001343,2.412224,2.239272,1.013700,34.353371
28,0.000596,0.001193,0.001249,2.920498,2.776965,1.005044,34.589781
29,0.000569,0.001161,0.001334,2.478666,2.334196,1.004255,34.066085
30,0.000542,0.001135,0.001830,0.280827,0.013500,1.031438,34.756943
31,0.000514,0.001168,0.001338,2.776729,2.652352,1.004519,35.033130
32,0.000487,0.001085,0.001427,2.711798,2.479460,1.016817,34.826978
33,0.000459,0.001110,0.001375,2.605922,2.429374,1.006101,34.383338
34,0.000432,0.001016,0.001308,2.524538,2.380775,1.006112,33.311955
35,0.000405,0.001034,0.001902,1.599225,1.386123,1.024350,35.049856
36,0.000378,0.001097,0.001581,1.659760,1.463680,1.014282,34.286447
37,0.000351,0.001051,0.001432,2.349291,2.197182,1.014532,34.511015
38,0.000325,0.001093,0.001384,2.893766,2.757720,0.997660,35.119374
39,0.000300,0.001025,0.001486,2.526942,2.402440,1.006499,34.196848
40,0.000275,0.000969,0.001515,1.783117,1.599083,1.017374,34.559189
