epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.151347,0.027934,2.897690,1.957026,0.841506,30.082909
2,0.000659,0.047695,0.004981,4.687595,4.346791,0.970751,30.633878
3,0.000993,0.010118,0.003522,6.595391,6.234274,0.996740,30.363026
4,0.000999,0.004888,0.003943,5.372512,4.655831,1.070150,30.087032
5,0.000997,0.004020,0.002652,7.194177,6.734255,1.033591,29.918387
6,0.000993,0.002919,0.002516,7.371307,7.041925,1.022542,30.150827
7,0.000988,0.003105,0.002536,7.148931,6.735572,1.035430,30.002158
8,0.000981,0.003094,0.002497,7.613484,7.457385,0.994583,30.143435
9,0.000973,0.002746,0.002132,7.715838,7.388271,1.020057,30.300109
10,0.000963,0.002341,0.002152,8.097746,7.789594,1.016691,29.884123
11,0.000952,0.002065,0.001821,8.557061,8.420654,0.981679,30.674220
12,0.000940,0.002315,0.001701,8.809008,8.656549,1.009506,30.447683
13,0.000926,0.001988,0.001783,8.447928,8.297585,1.008335,30.422665
14,0.000911,0.001783,0.001798,8.928667,8.670429,1.024059,30.484358
15,0.000895,0.001873,0.001855,8.439347,8.250705,1.018350,30.753079
16,0.000877,0.001729,0.001522,9.054866,8.949620,0.997982,30.432084
17,0.000859,0.001775,0.001562,9.080944,8.887352,1.012654,30.433995
18,0.000839,0.001814,0.001560,8.965226,8.692354,1.025491,30.390078
19,0.000818,0.001591,0.001549,8.946640,8.841086,0.989713,31.035419
20,0.000797,0.001586,0.001676,9.049523,8.942089,0.998645,30.822384
21,0.000774,0.001878,0.001774,8.498084,8.338419,0.997389,30.571806
22,0.000751,0.001426,0.001453,9.226483,9.019879,1.019295,31.058854
23,0.000726,0.001372,0.001427,9.643145,9.482531,1.008746,30.209099
24,0.000701,0.001295,0.001529,9.064922,8.918624,0.998965,30.653764
25,0.000676,0.001365,0.001423,9.422793,9.320442,1.003726,30.817643
26,0.000650,0.001468,0.001421,9.258730,9.157959,1.003156,30.091276
27,0.000623,0.001255,0.001482,9.394786,9.138354,1.024458,30.101700
28,0.000596,0.001355,0.001574,8.942557,8.821009,1.008392,30.750251
29,0.000569,0.001283,0.001415,9.640843,9.533803,1.001714,30.485660
30,0.000542,0.001249,0.001362,9.717911,9.576625,1.009405,30.188136
31,0.000514,0.001160,0.001292,9.992277,9.824005,1.009574,30.530324
32,0.000487,0.001147,0.001312,9.986525,9.835513,1.009404,30.317026
33,0.000459,0.001175,0.001447,9.746464,9.563777,1.017702,30.666044
34,0.000432,0.001113,0.001476,9.370973,9.053088,1.031704,30.475102
35,0.000405,0.001192,0.001314,9.919429,9.780707,1.010978,30.311272
36,0.000378,0.001116,0.001342,9.764351,9.627612,0.995955,30.534336
37,0.000351,0.001103,0.001290,10.035088,9.897445,1.006494,30.644226
38,0.000325,0.001074,0.001280,9.866955,9.730835,1.008138,30.377187
39,0.000300,0.000993,0.001432,9.578123,9.323527,1.025903,30.468296
40,0.000275,0.000982,0.001277,9.943747,9.786818,1.009910,30.595066
41,0.000251,0.001019,0.001257,10.071231,9.935126,1.008293,30.763266
42,0.000227,0.001022,0.001286,10.036881,9.873452,1.010178,31.011311
43,0.000204,0.000955,0.001395,9.490331,9.306733,1.015735,30.528206
44,0.000183,0.001039,0.001284,9.887672,9.770041,1.003636,30.457475
45,0.000162,0.001019,0.001253,10.175740,10.027859,1.011026,30.407965
46,0.000142,0.000920,0.001327,9.853499,9.652242,1.018682,29.447525
47,0.000123,0.001026,0.001289,9.930121,9.798100,1.007506,31.089813
48,0.000106,0.000955,0.001265,10.130079,9.977147,1.009830,30.169493
49,0.000089,0.000953,0.001290,10.048046,9.855474,1.017393,30.736391
50,0.000074,0.000949,0.001246,10.180226,10.048783,1.008927,30.457426
51,0.000061,0.000936,0.001243,10.152080,10.014858,1.007339,31.354178
52,0.000048,0.000906,0.001278,10.077928,9.917010,1.014365,30.641680
53,0.000037,0.000878,0.001278,10.075558,9.907483,1.014219,36.285828
54,0.000027,0.000936,0.001319,9.869020,9.708790,1.013567,31.242360
55,0.000019,0.000890,0.001295,10.009985,9.866730,1.011558,32.542763
56,0.000012,0.000883,0.001263,10.091122,9.955659,1.009322,29.291454
57,0.000007,0.000882,0.001270,10.059955,9.916655,1.010280,30.633661
58,0.000003,0.000959,0.001267,10.106554,9.960205,1.011293,30.550775
59,0.000001,0.000908,0.001272,10.088796,9.942946,1.011233,31.119107
60,0.000000,0.000877,0.001273,10.085496,9.939496,1.011263,30.506119
