epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008710,0.003979,-1.857803,-2.278153,0.993340,36.626219
2,0.000659,0.003271,0.002228,0.184264,-0.078859,1.000471,104.255839
3,0.000993,0.002190,0.002017,0.533048,0.121809,1.026649,41.863751
4,0.000999,0.002045,0.003059,0.128122,-0.134037,1.035347,39.519186
5,0.000997,0.002088,0.001987,0.611901,0.283861,1.022996,119.687661
6,0.000993,0.001671,0.001770,1.539235,1.411608,1.007084,112.907578
7,0.000988,0.001854,0.002311,0.808892,0.572061,1.014311,110.418892
8,0.000981,0.001588,0.001568,1.979283,1.892512,0.996784,35.072078
9,0.000973,0.001699,0.001767,1.455840,1.270328,1.004130,124.782351
10,0.000963,0.001593,0.001760,1.917019,1.746853,0.998733,34.787094
