epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008943,0.004554,0.143437,-0.427974,0.950430,49.916776
2,0.000659,0.003777,0.002802,0.800953,0.435273,0.982359,49.788097
3,0.000993,0.003006,0.002947,0.418674,-0.012535,0.990409,49.501044
4,0.000999,0.002868,0.002486,0.647553,0.423119,0.988565,49.254518
5,0.000997,0.002977,0.002407,1.142462,0.775807,0.994834,50.056201
6,0.000993,0.002411,0.002887,-0.044634,-0.471649,0.989455,49.938382
7,0.000988,0.002339,0.002052,2.361086,2.099124,0.988624,49.416012
8,0.000981,0.002078,0.001922,2.078876,1.881474,0.991576,49.438271
9,0.000973,0.002019,0.002050,1.553245,1.236958,1.020931,50.260388
10,0.000963,0.001869,0.001895,1.822353,1.561247,1.016931,49.529407
11,0.000952,0.002090,0.001908,1.753629,1.534725,0.997776,49.337632
12,0.000940,0.002135,0.001972,1.336464,0.967522,1.020099,49.737923
13,0.000926,0.001996,0.001949,1.937790,1.629930,1.021473,49.273810
14,0.000911,0.001783,0.001725,2.325632,2.047168,1.011447,49.209159
15,0.000895,0.001798,0.001748,2.080715,1.839696,1.011906,49.584360
16,0.000877,0.001784,0.003193,0.632854,0.016461,1.067930,50.191357
17,0.000859,0.001879,0.001902,2.310262,2.174978,1.002128,48.974304
18,0.000839,0.001619,0.001708,2.819787,2.663279,0.991838,48.998936
19,0.000818,0.001703,0.001760,2.228221,2.068786,1.017770,49.545045
20,0.000797,0.001595,0.001777,1.829134,1.706198,1.005578,49.805670
21,0.000774,0.001663,0.001614,2.959089,2.856861,0.987422,48.985679
22,0.000751,0.001648,0.001740,1.691764,1.560098,0.999118,49.154408
23,0.000726,0.001433,0.001587,2.657264,2.542633,1.001630,49.973392
24,0.000701,0.001478,0.002193,1.109584,0.909197,1.030399,50.055585
25,0.000676,0.001565,0.001616,1.962398,1.822653,1.017476,49.287589
26,0.000650,0.001604,0.001665,1.815156,1.717470,1.000371,48.963330
27,0.000623,0.001391,0.001540,2.655644,2.505293,1.010633,49.382828
28,0.000596,0.001635,0.001761,1.990870,1.650781,1.034295,49.352902
29,0.000569,0.001386,0.001520,2.306166,2.192951,1.008185,49.525547
30,0.000542,0.001451,0.001457,2.708381,2.557359,1.003490,49.679994
31,0.000514,0.001434,0.001431,2.923963,2.783892,1.008552,49.537977
32,0.000487,0.001379,0.001531,2.564645,2.449346,1.001859,48.842123
33,0.000459,0.001403,0.001634,2.219442,2.106437,1.006986,49.076555
