epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.009331,0.005924,-0.454590,-0.981723,0.922061,34.742383
2,0.000659,0.004295,0.002819,0.343360,-0.098029,1.014288,34.036276
3,0.000993,0.003087,0.003438,1.435167,0.842731,0.983069,33.989975
4,0.000999,0.002759,0.002740,2.028899,1.561786,0.985475,33.557771
5,0.000997,0.002696,0.002561,1.112627,0.890674,0.995902,33.868472
6,0.000993,0.002058,0.002711,2.867809,2.460337,0.980010,34.124505
7,0.000988,0.002141,0.001895,2.776735,2.593545,0.995674,34.161903
8,0.000981,0.001818,0.002223,1.908271,1.616389,1.007923,34.179312
9,0.000973,0.001900,0.001875,3.219265,2.958808,0.993856,33.770176
10,0.000963,0.001756,0.001619,3.044920,2.891424,1.004236,35.587646
11,0.000952,0.001772,0.001696,3.120677,2.962460,0.998881,34.210612
12,0.000940,0.001897,0.001651,3.410163,3.262985,0.995470,34.796925
13,0.000926,0.001649,0.001970,3.436499,3.273347,0.971969,34.285177
14,0.000911,0.001639,0.001900,2.597557,2.285428,1.026579,34.314819
15,0.000895,0.001616,0.001672,3.198488,3.020056,0.997162,33.726749
16,0.000877,0.001566,0.001642,3.259436,3.085743,1.006642,34.601363
17,0.000859,0.001597,0.001742,2.950664,2.802478,1.010723,34.636859
18,0.000839,0.001386,0.001604,2.820944,2.693397,1.008003,34.308931
19,0.000818,0.001448,0.002500,0.893720,0.640894,1.028015,34.105539
20,0.000797,0.001415,0.001576,3.764707,3.498509,1.003937,34.002649
21,0.000774,0.001521,0.001552,3.015068,2.739220,1.019238,33.986708
22,0.000751,0.001394,0.001570,3.610686,3.482323,1.001086,34.620612
23,0.000726,0.001216,0.001642,2.956655,2.827738,1.012222,33.898505
24,0.000701,0.001250,0.001750,2.868551,2.726998,1.015595,33.320884
25,0.000676,0.001367,0.001550,3.416804,3.312786,0.998550,33.356152
26,0.000650,0.001306,0.001543,2.651861,2.547260,1.004441,33.563097
27,0.000623,0.001285,0.001350,3.825618,3.682370,1.005174,34.245435
28,0.000596,0.001384,0.002154,1.578996,1.290395,1.032882,33.958222
29,0.000569,0.001253,0.001418,3.006017,2.917196,1.002041,34.461825
30,0.000542,0.001212,0.001364,3.699185,3.584169,1.004777,33.673707
31,0.000514,0.001267,0.001295,3.752480,3.609182,1.005673,33.707791
32,0.000487,0.001178,0.001375,3.691103,3.566205,1.012116,34.305502
33,0.000459,0.001239,0.001841,1.412872,1.211368,1.022823,33.795446
34,0.000432,0.001113,0.001525,2.776014,2.639604,1.012239,33.834412
35,0.000405,0.001131,0.001651,2.300353,2.165095,1.018203,34.503364
36,0.000378,0.001123,0.001415,2.886803,2.769464,1.000093,34.178311
37,0.000351,0.001121,0.001300,3.683055,3.548183,1.010574,34.522976
38,0.000325,0.001160,0.001454,3.551536,3.386344,1.016567,34.506902
39,0.000300,0.001112,0.001446,3.008310,2.851538,1.015020,34.775850
