epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.009103,0.005305,0.484353,-0.194830,0.947471,41.476264
2,0.000659,0.004044,0.002866,0.470556,0.112795,0.996454,41.640487
3,0.000993,0.002901,0.002427,2.181137,1.889503,0.981747,41.682121
4,0.000999,0.002711,0.002757,1.335823,0.963824,0.984522,42.387076
5,0.000997,0.003223,0.002628,1.810080,1.493229,0.984691,41.383873
6,0.000993,0.002340,0.002055,1.756897,1.532551,0.989562,41.479321
7,0.000988,0.002186,0.002615,0.678556,0.294432,1.031566,40.846131
8,0.000981,0.001988,0.001837,2.371984,2.028775,1.019340,42.134259
9,0.000973,0.001794,0.001789,2.985369,2.811437,0.993840,41.510247
10,0.000963,0.001902,0.002514,1.735869,1.388045,1.007885,41.661625
11,0.000952,0.001898,0.001707,2.944827,2.802202,0.999500,42.465867
12,0.000940,0.001827,0.001650,3.329635,3.046958,1.009977,41.248175
13,0.000926,0.001739,0.001799,2.691425,2.492066,1.014887,42.044269
14,0.000911,0.001556,0.001619,2.735428,2.587203,1.009702,41.063685
15,0.000895,0.001639,0.001618,3.804304,3.627456,0.991747,41.310568
16,0.000877,0.001645,0.001505,3.244729,3.070923,1.004954,41.577469
17,0.000859,0.001683,0.001806,2.301297,2.173751,1.002030,41.601137
18,0.000839,0.001675,0.001727,2.771557,2.641787,0.991456,41.247812
19,0.000818,0.001625,0.001573,3.597342,3.491151,0.987687,40.934017
20,0.000797,0.001483,0.001482,3.948549,3.801176,0.994757,41.315326
21,0.000774,0.001556,0.001476,3.561323,3.387512,0.998714,42.201452
22,0.000751,0.001406,0.001580,3.422449,3.232763,1.002536,41.317049
23,0.000726,0.001341,0.001528,3.329950,3.191816,1.005063,41.241921
24,0.000701,0.001378,0.002083,2.644357,2.450043,1.011621,41.096770
25,0.000676,0.001419,0.001696,2.159292,1.880110,1.016719,43.087235
26,0.000650,0.001365,0.001463,3.769236,3.658922,0.988093,42.235080
27,0.000623,0.001268,0.001581,3.166130,2.930421,1.016520,41.903891
28,0.000596,0.001382,0.001402,4.163825,4.042007,1.000507,41.745454
29,0.000569,0.001320,0.001624,3.391985,3.222937,1.005256,41.761104
30,0.000542,0.001292,0.001826,2.801354,2.594966,1.011654,40.134948
31,0.000514,0.001278,0.001488,3.552916,3.393373,1.005690,41.165536
32,0.000487,0.001245,0.001430,3.644345,3.497444,1.013932,41.657156
33,0.000459,0.001211,0.001816,1.521412,1.283263,1.028374,41.484835
34,0.000432,0.001146,0.001316,4.273163,4.175019,0.992241,41.920138
35,0.000405,0.001190,0.001370,4.019880,3.905775,1.005035,41.210582
36,0.000378,0.001180,0.001604,2.914805,2.730808,1.021447,41.227696
37,0.000351,0.001211,0.001654,2.772625,2.643536,1.010848,41.057889
38,0.000325,0.001235,0.001502,3.183563,3.035384,1.012163,41.214696
39,0.000300,0.001171,0.001502,3.372004,3.208825,1.014668,40.734683
40,0.000275,0.001085,0.001359,3.963938,3.826558,1.007171,40.981111
41,0.000251,0.001127,0.001403,3.811150,3.673509,1.011330,41.183910
42,0.000227,0.001084,0.001339,4.138629,4.020888,1.010033,42.613493
43,0.000204,0.001064,0.001540,3.216565,3.039651,1.018345,42.266174
44,0.000183,0.001120,0.001425,3.610483,3.466963,1.014462,41.817473
45,0.000162,0.000991,0.001581,2.829589,2.675651,1.016823,41.519925
46,0.000142,0.001047,0.001270,4.324037,4.216215,1.007209,41.449251
47,0.000123,0.000989,0.001400,3.811572,3.674513,1.012627,41.135284
48,0.000106,0.001059,0.001308,4.164579,4.059512,1.005786,42.214566
49,0.000089,0.001032,0.001373,3.680213,3.573496,1.008256,41.604319
50,0.000074,0.001049,0.001521,3.440960,3.291101,1.016658,41.931189
51,0.000061,0.001033,0.001447,3.626424,3.509912,1.012125,41.119314
52,0.000048,0.000971,0.001574,3.230759,3.087343,1.017511,41.432317
53,0.000037,0.000987,0.001410,3.640171,3.514608,1.012653,42.204357
54,0.000027,0.001048,0.001488,3.413519,3.277428,1.015953,40.707615
55,0.000019,0.000974,0.001415,3.670845,3.552370,1.012055,41.416075
56,0.000012,0.001007,0.001393,3.781896,3.659776,1.011813,41.377886
57,0.000007,0.000969,0.001366,3.818137,3.701572,1.010418,42.220274
58,0.000003,0.001048,0.001396,3.731290,3.605726,1.012746,41.169876
