run_id,arm,seed,n_params,loss,best_metric,best_epoch,n_epochs,wall_s,sec_per_epoch,source,fixed_snr_in,fixed_snr_imp_strict,fixed_snr_imp_scaled,fixed_gain_bias,fixed_rmse,fixed_loss,env_git_commit,env_python,env_torch,env_platform,env_device,env_amp,env_threads
m06_l1__s4,m06_l1,4,976489,L1,3.8832763969898223,18,30,1285.6,42.85,mitdb,15.496414953976636,3.1487047098577023,3.2730453230440615,1.0021911174058915,0.029147414291946915,0.001310256536817178,618d3df21f90b5f7c155b301b917a25f09df8118,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m06_l1__s5,m06_l1,5,976489,L1,3.919682076573372,22,34,1292.6,38.02,mitdb,15.496414953976636,3.4018920537084343,3.562414475902915,1.0015351409092546,0.02913860545377247,0.001346941920928657,b8b4aa600b8343fa246afd3202037397a511f59f,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m06_l1__s6,m06_l1,6,976489,L1,4.656780076399445,21,33,1220.2,36.98,mitdb,15.496414953976636,4.1734459567815065,4.281871889159083,0.99441152010113,0.02746637745585758,0.0012405055924318731,211257d771d4da57aa77e5955018958729f944a7,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m07_l1__s4,m07_l1,4,976489,L1,2.208992183953524,23,35,2765.7,79.02,mitdb,16.61449141902849,1.7925748359411955,1.9207305446267129,0.9995596001856029,0.03211789007400512,0.0017470726801548154,624f2963ddd4891c5ef47f4c3029a1222b881315,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m07_l1__s5,m07_l1,5,976489,L1,1.9630903981626033,13,25,1937.1,77.48,mitdb,16.61449141902849,1.5992259060032665,1.7735492918640374,1.0036440044175834,0.03300780822246452,0.0018535904004238547,13fe471e7b07eafd99403e2eb28fe5bfa1cbd463,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m07_l1__s6,m07_l1,6,976489,L1,2.5509959910064937,39,51,3889.5,76.26,mitdb,16.61449141902849,1.9908959452062844,2.1323767330497505,1.0075227142078802,0.030980426695168716,0.0015855397854465992,fd842dec74c496f061513e1763db69d5337780de,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m08_l1__s4,m08_l1,4,993390,L1,4.477027031034231,22,34,1483.7,43.64,mitdb,15.496414953976636,3.6733177974820137,3.873663378506899,1.0072180198098066,0.029443097840703557,0.0014375859696883707,624f2963ddd4891c5ef47f4c3029a1222b881315,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m08_l1__s5,m08_l1,5,993390,L1,4.324037461727857,46,58,2411.5,41.58,mitdb,15.496414953976636,3.7944657295942306,3.9106337040662766,1.0049262600950897,0.028767844160756794,0.0013338269898667931,13fe471e7b07eafd99403e2eb28fe5bfa1cbd463,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m08_l1__s6,m08_l1,6,993390,L1,4.495154263079167,36,48,1972.8,41.1,mitdb,15.496414953976636,4.0290258262306455,4.167042275890708,1.002824811078608,0.027853658662206727,0.0012456010677851736,fd842dec74c496f061513e1763db69d5337780de,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m09_l1__s4,m09_l1,4,768129,L1,4.749507963657379,47,59,3057.5,51.82,mitdb,15.496414953976636,4.0472528949379925,4.140235751867294,1.0019378671888262,0.028106423306599026,0.0012952490360476077,ffbade11980d7fdb03acf3aeb879fe992fe98c8f,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m09_l1__s5,m09_l1,5,768129,L1,4.142202212661505,21,33,1629.5,49.38,mitdb,15.496414953976636,3.6080924972891806,3.765834403783083,1.0040451537817716,0.03014396123107872,0.001517149864230305,c4c8e397f33967c81fc1c40602d6d6c6579a67a9,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m10_l1__s4,m10_l1,4,979926,L1,4.901767941564321,48,60,5167.8,86.13,mitdb,15.496414953976636,4.165440700948238,4.371797118335962,1.0127224624156952,0.026461868909245824,0.0010727058048360049,b8b4aa600b8343fa246afd3202037397a511f59f,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
m10_l1__s5,m10_l1,5,979926,L1,4.589460118860006,39,51,4281.1,83.94,mitdb,15.496414953976636,4.101464959979057,4.271875988692045,1.0046500590629877,0.026843989893677644,0.0011247934133280068,211257d771d4da57aa77e5955018958729f944a7,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4
