                metric  ideal  floor_mean  floor_p95  floor_max
                  rmse    0.0    0.111769   0.215042   0.215060
                  prdn    0.0   54.407062 109.257138 109.266350
                    cc    1.0    0.132012   0.319892   0.319934
               beat_cc    1.0    0.000036   0.000104   0.000105
        beat_cc_median    1.0    0.001343   0.002407   0.002441
         r_amp_err_pct    0.0   68.929561 242.223811 242.247883
          rpeak_mae_ms    0.0    0.016728   0.049689   0.058065
         rpeak_bias_ms    0.0    0.020619   0.063183   0.081633
            hr_err_bpm    0.0    0.007551   0.000000   0.219356
             rr_mae_ms    0.0    0.032993   0.100000   0.118280
        qrs_dur_err_ms    0.0   14.176835  40.997260  47.297297
delineate_success_rate    NaN    0.002405   0.012658   0.018987
           psd_logdist    0.0    0.924054   1.540579   1.549946
             gain_bias    1.0    0.237857   0.543618   0.543650

-> docs/03_metric_floor_d1.md
