axis,axis_tag,method,snr_db,gain_db,p_holm,verdict
D0 합성,d0,M06,-5,8.099,7.152557373046875e-06,유의
D0 합성,d0,M08,-5,7.861,7.152557373046875e-06,유의
D0 합성,d0,M06,0,8.35,9.5367431640625e-06,유의
D0 합성,d0,M08,0,8.31,7.152557373046875e-06,유의
D0 합성,d0,M06,5,7.189,2.384185791015625e-05,유의
D0 합성,d0,M08,5,7.341,1.5735626220703125e-05,유의
D0 합성,d0,M06,10,4.925,0.0012063980102539062,유의
D0 합성,d0,M08,10,5.447,0.00036716461181640625,유의
D0 합성,d0,M06,15,1.969,0.2503633499145508,n.s.
D0 합성,d0,M08,15,2.991,0.037479400634765625,유의
D0 합성,d0,M06,20,-1.646,0.7042865753173828,n.s.
D0 합성,d0,M08,20,-0.084,0.7042865753173828,n.s.
D1 실데이터,d1,M06,-5,7.707,1.71661376953125e-05,유의
D1 실데이터,d1,M08,-5,7.072,1.9073486328125e-05,유의
D1 실데이터,d1,M06,0,6.978,2.384185791015625e-05,유의
D1 실데이터,d1,M08,0,6.656,3.337860107421875e-05,유의
D1 실데이터,d1,M06,5,4.694,0.0050449371337890625,유의
D1 실데이터,d1,M08,5,4.813,0.0050449371337890625,유의
D1 실데이터,d1,M06,10,1.669,1.0,n.s.
D1 실데이터,d1,M08,10,2.128,0.8856954574584961,n.s.
D1 실데이터,d1,M06,15,-1.789,1.0,n.s.
D1 실데이터,d1,M08,15,-0.914,1.0,n.s.
D1 실데이터,d1,M06,20,-5.706,0.015028953552246094,유의
D1 실데이터,d1,M08,20,-4.452,0.07582664489746094,n.s.
