axis,axis_tag,model,noise,snr_db,delta_db,p_holm,verdict
D0 합성,d0,M06,백색잡음,-5,-0.63,7.958078640513122e-13,손해
D0 합성,d0,M06,전원선 60Hz,-5,3.741,1.0800249583553523e-09,이득
D0 합성,d0,M06,기저선 변동,-5,1.498,0.0003654219867712527,이득
D0 합성,d0,M06,근전도(MA),-5,-0.973,2.0463630789890885e-12,손해
D0 합성,d0,M06,전극 움직임(EM),-5,-0.255,0.24566128711353485,n.s.
D0 합성,d0,M06,임펄스,-5,-3.049,2.8421709430404007e-12,손해
D0 합성,d0,M06,혼합,-5,0.653,0.24566128711353485,n.s.
D0 합성,d0,M06,백색잡음,0,-0.251,1.3662372566614067e-07,손해
D0 합성,d0,M06,전원선 60Hz,0,5.941,3.5572611523093656e-10,이득
D0 합성,d0,M06,기저선 변동,0,2.12,2.0604209112207172e-05,이득
D0 합성,d0,M06,근전도(MA),0,-0.676,1.193820935441181e-07,손해
D0 합성,d0,M06,전극 움직임(EM),0,0.73,0.0027169844643140095,이득
D0 합성,d0,M06,임펄스,0,-0.428,0.06747004004739665,n.s.
D0 합성,d0,M06,혼합,0,1.109,0.0016699078784085941,이득
D0 합성,d0,M06,백색잡음,5,-0.249,0.003106607922291005,손해
D0 합성,d0,M06,전원선 60Hz,5,7.379,3.5572611523093656e-10,이득
D0 합성,d0,M06,기저선 변동,5,3.154,1.476212219131412e-07,이득
D0 합성,d0,M06,근전도(MA),5,-0.151,0.3755955050718285,n.s.
D0 합성,d0,M06,전극 움직임(EM),5,1.545,7.229391485452652e-05,이득
D0 합성,d0,M06,임펄스,5,1.145,0.0021277012689324692,이득
D0 합성,d0,M06,혼합,5,1.391,0.0006424975672416622,이득
D0 합성,d0,M06,백색잡음,10,-0.082,0.9217797570671564,n.s.
D0 합성,d0,M06,전원선 60Hz,10,8.064,3.5572611523093656e-10,이득
D0 합성,d0,M06,기저선 변동,10,4.693,8.601546142017469e-10,이득
D0 합성,d0,M06,근전도(MA),10,0.857,0.0019732588077658875,이득
