입력 SNR,잡음 종류,L6 이득 (dB),판정
-5 dB,전극 움직임(EM),-3.844,손해
0 dB,전극 움직임(EM),-2.037,손해
5 dB,전극 움직임(EM),-1.038,손해
10 dB,전극 움직임(EM),-0.427,n.s.
15 dB,전극 움직임(EM),0.689,n.s.
20 dB,전극 움직임(EM),2.379,이득
25 dB,전극 움직임(EM),4.786,이득
-5 dB,임펄스,-3.69,손해
0 dB,임펄스,-0.418,n.s.
5 dB,임펄스,0.326,n.s.
10 dB,임펄스,0.801,n.s.
15 dB,임펄스,1.189,n.s.
20 dB,임펄스,1.914,이득
25 dB,임펄스,3.053,이득
-5 dB,혼합,-1.285,손해
0 dB,혼합,-0.599,손해
5 dB,혼합,-0.011,n.s.
10 dB,혼합,0.727,n.s.
15 dB,혼합,1.907,이득
20 dB,혼합,3.337,이득
25 dB,혼합,5.081,이득
-5 dB,백색잡음,-0.274,손해
0 dB,백색잡음,-0.288,손해
5 dB,백색잡음,-0.137,n.s.
10 dB,백색잡음,0.356,이득
15 dB,백색잡음,0.846,이득
20 dB,백색잡음,1.164,이득
25 dB,백색잡음,2.017,이득
-5 dB,근전도(MA),-0.532,손해
0 dB,근전도(MA),0.027,n.s.
5 dB,근전도(MA),0.561,이득
10 dB,근전도(MA),1.217,이득
15 dB,근전도(MA),1.87,이득
20 dB,근전도(MA),2.618,이득
25 dB,근전도(MA),3.474,이득
-5 dB,기저선 변동,-0.808,손해
0 dB,기저선 변동,0.391,n.s.
5 dB,기저선 변동,2.181,이득
10 dB,기저선 변동,4.556,이득
15 dB,기저선 변동,7.211,이득
20 dB,기저선 변동,9.752,이득
25 dB,기저선 변동,11.896,이득
-5 dB,전원선 60Hz,1.512,이득
0 dB,전원선 60Hz,1.899,이득
5 dB,전원선 60Hz,2.28,이득
10 dB,전원선 60Hz,4.0,이득
15 dB,전원선 60Hz,6.503,이득
20 dB,전원선 60Hz,9.078,이득
25 dB,전원선 60Hz,11.138,이득
