axis,axis_tag,noise,method,snr_in_db,snr_imp_db
D0 합성,d0,백색잡음,B01,10,9.927
D0 합성,d0,백색잡음,B02,10,4.951
D0 합성,d0,백색잡음,M00,10,0.422
D0 합성,d0,백색잡음,M01,10,4.156
D0 합성,d0,백색잡음,M02,10,2.619
D0 합성,d0,백색잡음,M03,10,2.125
D0 합성,d0,백색잡음,M04,10,8.166
D0 합성,d0,백색잡음,M04np,10,5.464
D0 합성,d0,백색잡음,M05,10,3.087
D0 합성,d0,백색잡음,M05f,10,0.662
D0 합성,d0,백색잡음,M06,10,9.164
D0 합성,d0,백색잡음,M07,10,8.011
D0 합성,d0,백색잡음,M08,10,8.831
D0 합성,d0,백색잡음,M09,10,8.619
D0 합성,d0,백색잡음,M10,10,8.009
D0 합성,d0,백색잡음,M_FE,10,1.492
D0 합성,d0,기저선 변동,B01,10,21.487
D0 합성,d0,기저선 변동,B02,10,23.712
D0 합성,d0,기저선 변동,M00,10,0.407
D0 합성,d0,기저선 변동,M01,10,11.831
D0 합성,d0,기저선 변동,M02,10,5.391
D0 합성,d0,기저선 변동,M03,10,20.379
D0 합성,d0,기저선 변동,M04,10,21.39
D0 합성,d0,기저선 변동,M04np,10,21.324
D0 합성,d0,기저선 변동,M05,10,8.103
D0 합성,d0,기저선 변동,M05f,10,5.301
D0 합성,d0,기저선 변동,M06,10,14.404
D0 합성,d0,기저선 변동,M07,10,12.524
D0 합성,d0,기저선 변동,M08,10,16.452
D0 합성,d0,기저선 변동,M09,10,14.032
D0 합성,d0,기저선 변동,M10,10,12.474
D0 합성,d0,기저선 변동,M_FE,10,21.49
D0 합성,d0,전극 움직임(EM),B01,10,7.689
D0 합성,d0,전극 움직임(EM),B02,10,9.225
D0 합성,d0,전극 움직임(EM),M00,10,0.424
D0 합성,d0,전극 움직임(EM),M01,10,5.597
D0 합성,d0,전극 움직임(EM),M02,10,2.771
D0 합성,d0,전극 움직임(EM),M03,10,7.545
D0 합성,d0,전극 움직임(EM),M04,10,7.61
D0 합성,d0,전극 움직임(EM),M04np,10,7.606
D0 합성,d0,전극 움직임(EM),M05,10,4.817
D0 합성,d0,전극 움직임(EM),M05f,10,3.24
D0 합성,d0,전극 움직임(EM),M06,10,11.632
D0 합성,d0,전극 움직임(EM),M07,10,10.325
D0 합성,d0,전극 움직임(EM),M08,10,12.419
D0 합성,d0,전극 움직임(EM),M09,10,11.453
D0 합성,d0,전극 움직임(EM),M10,10,10.241
D0 합성,d0,전극 움직임(EM),M_FE,10,7.613
D0 합성,d0,임펄스,B01,10,8.925
D0 합성,d0,임펄스,B02,10,2.595
D0 합성,d0,임펄스,M00,10,0.414
D0 합성,d0,임펄스,M01,10,1.319
D0 합성,d0,임펄스,M02,10,1.163
D0 합성,d0,임펄스,M03,10,0.539
D0 합성,d0,임펄스,M04,10,0.512
D0 합성,d0,임펄스,M04np,10,0.512
D0 합성,d0,임펄스,M05,10,3.421
D0 합성,d0,임펄스,M05f,10,1.22
D0 합성,d0,임펄스,M06,10,11.204
D0 합성,d0,임펄스,M07,10,9.886
D0 합성,d0,임펄스,M08,10,11.883
D0 합성,d0,임펄스,M09,10,11.527
D0 합성,d0,임펄스,M10,10,9.748
D0 합성,d0,임펄스,M_FE,10,0.509
D0 합성,d0,근전도(MA),B01,10,14.668
D0 합성,d0,근전도(MA),B02,10,7.329
D0 합성,d0,근전도(MA),M00,10,0.42
D0 합성,d0,근전도(MA),M01,10,5.999
D0 합성,d0,근전도(MA),M02,10,4.318
D0 합성,d0,근전도(MA),M03,10,4.835
D0 합성,d0,근전도(MA),M04,10,7.791
D0 합성,d0,근전도(MA),M04np,10,7.279
D0 합성,d0,근전도(MA),M05,10,7.98
D0 합성,d0,근전도(MA),M05f,10,4.214
D0 합성,d0,근전도(MA),M06,10,12.354
D0 합성,d0,근전도(MA),M07,10,10.24
D0 합성,d0,근전도(MA),M08,10,12.657
D0 합성,d0,근전도(MA),M09,10,12.002
D0 합성,d0,근전도(MA),M10,10,10.491
D0 합성,d0,근전도(MA),M_FE,10,1.017
D0 합성,d0,혼합,B01,10,11.406
D0 합성,d0,혼합,B02,10,9.734
D0 합성,d0,혼합,M00,10,0.423
D0 합성,d0,혼합,M01,10,6.112
D0 합성,d0,혼합,M02,10,3.136
D0 합성,d0,혼합,M03,10,6.566
D0 합성,d0,혼합,M04,10,9.438
D0 합성,d0,혼합,M04np,10,8.479
D0 합성,d0,혼합,M05,10,5.164
D0 합성,d0,혼합,M05f,10,2.955
