axis,snr_db,record,seg,contrast_db,sign
D1 실데이터,-5,100,0,4.276,딥러닝 우세
D1 실데이터,-5,100,1,7.262,딥러닝 우세
D1 실데이터,-5,103,0,10.16,딥러닝 우세
D1 실데이터,-5,103,1,1.197,딥러닝 우세
D1 실데이터,-5,105,0,14.73,딥러닝 우세
D1 실데이터,-5,105,1,-4.057,front-end 우세
D1 실데이터,-5,111,0,10.732,딥러닝 우세
D1 실데이터,-5,111,1,10.589,딥러닝 우세
D1 실데이터,-5,113,0,11.198,딥러닝 우세
D1 실데이터,-5,113,1,5.503,딥러닝 우세
D1 실데이터,-5,117,0,5.887,딥러닝 우세
D1 실데이터,-5,117,1,4.558,딥러닝 우세
D1 실데이터,-5,121,0,9.949,딥러닝 우세
D1 실데이터,-5,121,1,9.886,딥러닝 우세
D1 실데이터,-5,123,0,6.838,딥러닝 우세
D1 실데이터,-5,123,1,7.185,딥러닝 우세
D1 실데이터,-5,200,0,3.954,딥러닝 우세
D1 실데이터,-5,200,1,7.608,딥러닝 우세
D1 실데이터,-5,202,0,6.372,딥러닝 우세
D1 실데이터,-5,202,1,7.885,딥러닝 우세
D1 실데이터,-5,210,0,10.833,딥러닝 우세
D1 실데이터,-5,210,1,6.129,딥러닝 우세
D1 실데이터,-5,212,0,4.24,딥러닝 우세
D1 실데이터,-5,212,1,8.948,딥러닝 우세
D1 실데이터,-5,213,0,5.175,딥러닝 우세
D1 실데이터,-5,213,1,11.04,딥러닝 우세
D1 실데이터,-5,214,0,13.232,딥러닝 우세
D1 실데이터,-5,214,1,12.256,딥러닝 우세
D1 실데이터,-5,219,0,12.899,딥러닝 우세
D1 실데이터,-5,219,1,5.664,딥러닝 우세
D1 실데이터,-5,221,0,4.752,딥러닝 우세
D1 실데이터,-5,221,1,9.413,딥러닝 우세
D1 실데이터,-5,222,0,3.795,딥러닝 우세
D1 실데이터,-5,222,1,-7.085,front-end 우세
D1 실데이터,-5,228,0,-2.883,front-end 우세
D1 실데이터,-5,228,1,2.65,딥러닝 우세
D1 실데이터,-5,231,0,5.41,딥러닝 우세
D1 실데이터,-5,231,1,3.042,딥러닝 우세
D1 실데이터,-5,232,0,10.235,딥러닝 우세
D1 실데이터,-5,232,1,6.506,딥러닝 우세
D1 실데이터,-5,233,0,10.504,딥러닝 우세
D1 실데이터,-5,233,1,11.303,딥러닝 우세
D1 실데이터,-5,234,0,13.091,딥러닝 우세
D1 실데이터,-5,234,1,8.304,딥러닝 우세
D1 실데이터,0,100,0,1.868,딥러닝 우세
D1 실데이터,0,100,1,5.985,딥러닝 우세
D1 실데이터,0,103,0,6.841,딥러닝 우세
D1 실데이터,0,103,1,-0.007,front-end 우세
D1 실데이터,0,105,0,16.137,딥러닝 우세
D1 실데이터,0,105,1,-8.995,front-end 우세
D1 실데이터,0,111,0,7.473,딥러닝 우세
D1 실데이터,0,111,1,11.574,딥러닝 우세
D1 실데이터,0,113,0,12.779,딥러닝 우세
D1 실데이터,0,113,1,5.094,딥러닝 우세
D1 실데이터,0,117,0,6.97,딥러닝 우세
D1 실데이터,0,117,1,4.347,딥러닝 우세
D1 실데이터,0,121,0,11.185,딥러닝 우세
