axis,axis_tag,metric,delta,p_holm,verdict
D0 합성,d0,snr_imp_scaled,6.35552,7.152557373046875e-06,유의
D0 합성,d0,rmse,-0.0302,7.152557373046875e-06,유의
D0 합성,d0,prdn,-19.49465,7.152557373046875e-06,유의
D0 합성,d0,cc,0.05298,7.152557373046875e-06,유의
D0 합성,d0,gain_bias,-0.08892,7.152557373046875e-06,유의
D0 합성,d0,ppv,0.01646,0.013967480890075115,유의
D0 합성,d0,f1,0.00814,0.06460475431335912,n.s.
D0 합성,d0,psd_logdist,-17.26756,7.152557373046875e-06,유의
D0 합성,d0,hr_err_bpm,-0.35611,0.20854036136037946,n.s.
D1 실데이터,d1,snr_imp_scaled,1.62936,0.24094009399414062,n.s.
D1 실데이터,d1,rmse,-0.03956,0.000400543212890625,유의
D1 실데이터,d1,prdn,-11.20252,0.0014638900756835938,유의
D1 실데이터,d1,cc,0.03516,0.0012383460998535156,유의
D1 실데이터,d1,gain_bias,-0.06809,6.341934204101562e-05,유의
D1 실데이터,d1,ppv,0.02165,0.0029465508931846704,유의
D1 실데이터,d1,f1,0.01305,0.013024432665358004,유의
D1 실데이터,d1,psd_logdist,-17.99208,7.152557373046875e-06,유의
D1 실데이터,d1,hr_err_bpm,-0.98843,0.07714303195892686,n.s.
