axis,noise,method,rank,snr_imp_db
D1 실데이터,백색잡음,M_FE,8,4.504
D1 실데이터,백색잡음,M01,3,8.23
D1 실데이터,백색잡음,M02,4,7.934
D1 실데이터,백색잡음,M03,7,6.829
D1 실데이터,백색잡음,M04,6,6.872
D1 실데이터,백색잡음,M05,5,7.407
D1 실데이터,백색잡음,M06,2,10.156
D1 실데이터,백색잡음,M08,1,10.441
D1 실데이터,기저선 변동,M_FE,1,24.704
D1 실데이터,기저선 변동,M01,3,19.193
D1 실데이터,기저선 변동,M02,7,12.872
D1 실데이터,기저선 변동,M03,6,14.543
D1 실데이터,기저선 변동,M04,2,23.919
D1 실데이터,기저선 변동,M05,8,12.21
D1 실데이터,기저선 변동,M06,5,15.236
D1 실데이터,기저선 변동,M08,4,16.516
D1 실데이터,전극 움직임(EM),M_FE,3,10.117
D1 실데이터,전극 움직임(EM),M01,5,9.667
D1 실데이터,전극 움직임(EM),M02,8,7.967
D1 실데이터,전극 움직임(EM),M03,6,8.673
D1 실데이터,전극 움직임(EM),M04,4,10.092
D1 실데이터,전극 움직임(EM),M05,7,8.065
D1 실데이터,전극 움직임(EM),M06,2,11.355
D1 실데이터,전극 움직임(EM),M08,1,11.419
D1 실데이터,임펄스,M_FE,7,3.559
D1 실데이터,임펄스,M01,5,5.149
D1 실데이터,임펄스,M02,4,6.222
D1 실데이터,임펄스,M03,6,3.685
D1 실데이터,임펄스,M04,8,3.559
D1 실데이터,임펄스,M05,3,6.5
D1 실데이터,임펄스,M06,2,13.654
D1 실데이터,임펄스,M08,1,13.692
D1 실데이터,근전도(MA),M_FE,8,4.079
D1 실데이터,근전도(MA),M01,5,10.426
D1 실데이터,근전도(MA),M02,4,10.684
D1 실데이터,근전도(MA),M03,6,8.767
D1 실데이터,근전도(MA),M04,7,4.289
D1 실데이터,근전도(MA),M05,3,11.194
D1 실데이터,근전도(MA),M06,2,13.105
D1 실데이터,근전도(MA),M08,1,14.004
D1 실데이터,혼합,M_FE,5,9.91
D1 실데이터,혼합,M01,3,10.449
D1 실데이터,혼합,M02,6,8.804
D1 실데이터,혼합,M03,7,8.523
D1 실데이터,혼합,M04,4,10.414
D1 실데이터,혼합,M05,8,8.499
D1 실데이터,혼합,M06,2,12.112
D1 실데이터,혼합,M08,1,12.456
D1 실데이터,전원선 60Hz,M_FE,2,23.427
D1 실데이터,전원선 60Hz,M01,3,21.563
D1 실데이터,전원선 60Hz,M02,7,13.576
D1 실데이터,전원선 60Hz,M03,6,14.044
D1 실데이터,전원선 60Hz,M04,1,28.759
D1 실데이터,전원선 60Hz,M05,8,12.414
D1 실데이터,전원선 60Hz,M06,5,16.124
D1 실데이터,전원선 60Hz,M08,4,17.681
