주파수 (Hz),원본 기록,입력 (전원선 섞임),공통 전처리만 출력,SWT wavelet 출력,딥러닝 Wavelet U-Net 출력
0.0,-10.36,-10.34,-27.41,-27.45,-28.42
0.244,-4.44,-4.44,-28.2,-28.24,-26.68
0.488,-8.45,-8.45,-20.56,-20.56,-20.91
0.732,-15.22,-15.22,-16.15,-16.15,-16.74
0.977,-5.91,-5.91,-5.94,-5.94,-6.32
1.221,0.0,0.0,-0.01,-0.0,-0.38
1.465,-4.96,-4.96,-4.97,-4.97,-5.41
1.709,-14.68,-14.68,-14.68,-14.68,-15.19
1.953,-14.76,-14.76,-14.77,-14.76,-14.78
2.197,-7.45,-7.45,-7.45,-7.44,-7.21
2.441,-1.31,-1.31,-1.31,-1.31,-1.15
2.686,-5.06,-5.06,-5.06,-5.05,-5.0
2.93,-13.85,-13.85,-13.85,-13.85,-14.04
3.174,-15.96,-15.96,-15.96,-15.97,-15.75
3.418,-10.77,-10.77,-10.77,-10.78,-10.39
3.662,-5.38,-5.38,-5.38,-5.38,-4.86
3.906,-8.11,-8.11,-8.11,-8.1,-7.58
4.15,-14.95,-14.95,-14.95,-14.81,-14.97
4.395,-11.94,-11.94,-11.94,-11.9,-12.3
4.639,-5.62,-5.62,-5.62,-5.69,-5.97
4.883,-0.38,-0.38,-0.38,-0.45,-0.68
5.127,-2.21,-2.21,-2.21,-2.27,-2.44
5.371,-9.56,-9.56,-9.56,-9.62,-9.67
5.615,-9.7,-9.7,-9.7,-9.78,-9.72
5.859,-4.05,-4.05,-4.05,-4.17,-4.05
6.104,-0.14,-0.14,-0.14,-0.29,-0.15
6.348,-1.16,-1.16,-1.16,-1.33,-1.2
6.592,-7.41,-7.41,-7.41,-7.57,-7.44
6.836,-9.92,-9.92,-9.92,-9.96,-9.69
7.08,-6.81,-6.81,-6.81,-6.77,-6.5
7.324,-3.99,-3.99,-3.99,-3.87,-3.68
7.568,-3.96,-3.96,-3.96,-3.81,-3.68
7.812,-7.65,-7.65,-7.65,-7.57,-7.5
8.057,-8.48,-8.48,-8.48,-8.42,-8.36
8.301,-6.39,-6.39,-6.39,-6.3,-6.28
8.545,-4.17,-4.17,-4.17,-4.16,-4.1
8.789,-3.4,-3.4,-3.4,-3.42,-3.34
9.033,-6.12,-6.12,-6.12,-6.14,-6.09
9.277,-7.79,-7.79,-7.79,-7.82,-7.81
9.521,-6.16,-6.16,-6.16,-6.22,-6.3
9.766,-4.68,-4.68,-4.68,-4.8,-4.85
10.01,-3.75,-3.75,-3.75,-3.88,-3.91
10.254,-5.36,-5.36,-5.36,-5.48,-5.53
10.498,-7.07,-7.07,-7.07,-7.14,-7.22
10.742,-6.08,-6.08,-6.08,-6.04,-6.1
10.986,-5.01,-5.01,-5.01,-4.97,-5.09
11.23,-4.14,-4.14,-4.14,-4.11,-4.22
11.475,-4.95,-4.95,-4.95,-4.89,-5.0
11.719,-6.24,-6.24,-6.24,-6.22,-6.3
11.963,-5.33,-5.33,-5.33,-5.29,-5.46
12.207,-4.96,-4.96,-4.96,-4.87,-5.09
12.451,-4.25,-4.25,-4.25,-4.13,-4.41
12.695,-4.25,-4.25,-4.25,-4.19,-4.43
12.939,-5.3,-5.3,-5.3,-5.25,-5.41
13.184,-5.46,-5.46,-5.46,-5.49,-5.7
13.428,-5.55,-5.55,-5.55,-5.56,-5.73
13.672,-4.99,-4.99,-5.0,-5.01,-5.19
